There are 4672 factions playing the game of thrones
bgedfca adfbceg
fbegacd dabcefg
fdagbec fcbedga
gedcbaf cfbagde
fgbeadc afbgecd
abgcefd dgefcba
dfegcba ecfgbad
begdacf edagcfb
dcgeabf fegbdca
afgedbc fbcedga
dbgefac gbfeadc
decfagb fegcbad
cfgdaeb fagcdbe
eacgdfb aefbgdc
afgdbce gdfceba
acebfgd deagbcf
bedcfag cbgadfe
ecafdgb ceagbdf
dacgfeb abcgfed
afegbcd gfebadc
dcgabfe abfcdeg
faebcdg gabcdfe
gdfebac bdafegc
fbaecgd abcedgf
cfgbdea ebdgcaf
bfadegc fedgacb
afdbgec cbeagfd
cebgfad dfegbca
abdegfc bcdgfea
bfgeacd adcgfbe
cgbaedf ebafgcd
bfecgad beagcfd
agecbdf bcfdgea
bcgafed bfgaecd
afbdgec fgcebad
dfcbaeg cfaebdg
bgfcdae gbceadf
gbcdefa ecdbgaf
egadcfb aegbdfc
febgcda abcefdg
cgedafb cdabefg
cbefgad edbfgca
cagdbef dgabcfe
aebcfdg egdcbfa
ecdabgf dgeafbc
dgecafb gcefabd
fgbeadc afbgecd
ebagcdf gadcfeb
gfbceda degacfb
afdbceg aebgfdc
defbgca gcedfab
agbefdc aedcfgb
bedfcag fcbgdae
efacgdb cebagdf
bcdeagf bedgcaf
fagdbce abgcefd
fdbceag abcgdfe
befgadc aegcfdb
cafebdg gdafceb
acbfged geadfcb
dabfceg edagcbf
abedgfc bacfedg
gfaebcd gaebdcf
acfegbd fbgcaed
adcbfeg edabfgc
eadgcfb facebgd
aebdfgc gcabfed
agcfedb befacgd
acgebdf fcbedag
afgcebd cgbfaed
fadegcb fgabced
efbdcag afegcbd
aefbgcd gfacebd
bfgceda gefcbad
bgcfdae caefdbg
egadcfb aegbdfc
dbeafcg fdegacb
fgdbace cgdaebf
abgcefd dgefcba
efgcdba fdcgeba
gaecdfb bgfaedc
edbfcag cafbegd
edcagfb gcadebf
aedgcbf bgfcaed
fbgdaec bcdefga
gdfcaeb gcadfbe
dgacefb cbgefda
cdbagfe becdafg
fecdgab agfbecd
fegbcda gfaecdb
ecfdabg dcebafg
fgdaceb agecfbd
efgdacb debcfag
cgafdbe bfcaedg
egdfabc dcafgeb
fbdceag deafgbc
dfeacbg cgbedfa
cefadgb gfbaced
efdcbag eadbcfg
befgdca dfecagb
cabegdf gdaefbc
bedcagf dcgafeb
fdecgba edgbacf
gbedacf bfgadec
gcebdfa deacbgf
agbfedc gefbdac
dacgbfe bdfgaec
cfdbgae fbedgac
ebgcfad cedafgb
daegbfc gfdcaeb
edgfabc acbgefd
cedabfg dcabgfe
fadbegc aedfbcg
adgfecb ecdbagf
gdcefba abgcedf
fgbcead dfcagbe
fegadcb afgdecb
bcedfag deabgfc
efagcbd gcdafeb
aegbcfd fdbcgea
egdbcaf bcgeafd
dbecfag egbdfac
cbgafed fgacebd
eabdfcg edfgcab
gcdfabe bcgefad
afgbdec daecgbf
dgcabef defacgb
befagdc fcdbega
bagcdfe abecgdf
fbdcaeg cdgfbae
fadcgbe cgedbfa
bgcdafe fdagbce
adcefgb gdefbac
abfgecd dcaebgf
fadcegb cbedfag
fbdecag afcbegd
ebcdafg bfegdac
bcegdfa afbdegc
ecgadfb fagebcd
aebcdgf dcbegaf
beagfdc dabgcfe
cbaegfd eadgfbc
adfbecg fgbadce
acdfgbe bfcegad
fgbdeca abdcegf
edcgbaf dbacfeg
bcafedg cfbdage
gfdcabe gacfbed
cedabfg dcabgfe
defbacg fceagdb
eadfbgc debcfga
dcgefba bcdafge
cfdaegb gafcebd
gfcbeda efacdbg
ebdcfag gafdbec
fgbeadc afbgecd
fdebagc abecfdg
dagbfec gefdcba
beagdfc gadecbf
cfbadeg cdgaebf
agfbecd gcedbfa
fgedacb geafcdb
abdfcge decagbf
acbfdeg dbfeagc
edbfcag cafbegd
fagcebd aefdgcb
fbgaecd abfcegd
cgebfda fgbcdae
fedgacb dcagbef
becafdg bcdgeaf
gbdcaef cfgdbea
eadbcfg cfeagbd
dagcfeb efdbagc
gcdfeab abcdegf
fgdceab febdcag
afcbgde afbedgc
gefcbad dacfbeg
ecgafdb agcdbfe
bgcaefd gacefbd
aedfcbg ebcgdfa
gdcabfe dgefacb
cdaefbg fgbdeca
fbdagec agfbdec
bcgaefd ebdcfga
bedfcag fcbgdae
bdecfga cadegbf
bdfagce afdbceg
deagcbf fbcgead
cdeafbg agdfcbe
efcgdba adebgcf
fbcdega cdbgaef
ebdgcfa eafcdgb
facedbg baedcgf
cebagdf gcefbda
agbedcf efdgacb
degbcfa dafcebg
fgdceab febdcag
fabcdeg ceabfgd
daefbgc faedcbg
fdbceag abcgdfe
deabgcf dcefabg
dbcfgae bgdaefc
gadcfeb bcdfaeg
fgcdeba fadcegb
egdabcf bagcedf
cfdagbe fbdceag
edfagcb efgdabc
fbgaced adfbcge
gcdefab gdbafec
bafgcde cagfbde
gbecdaf beagcdf
agcebdf cdbefga
cefdgab bgdacef
agcfdeb cbdfeag
gbdfeac beacgfd
dabegfc faedbcg
bedagfc begdfca
dagbfec gefdcba
eacdgbf bagfdce
bdefgca bcdaefg
adecfbg cbfgdae
aebcgdf agedfbc
gcdbafe afedbgc
fecgdab dbfcega
bdecfag fabegcd
cbgafde ecgfabd
fbdgace dcfgabe
bceafgd decbafg
cabgdef dgeabfc
fedgbac afcebgd
dcfbgea dbcagfe
cafgbde fcgdeba
aegfcbd acbedfg
cafdebg fdebcga
dfbacge cdegafb
egcdfba fbedacg
afgecbd gadbcef
daegfbc deafcgb
fcgdeba adcebgf
edacgbf dfecbag
cebgdfa febgdac
cfaedgb ebcdfga
cabefgd gcafdbe
deagbcf efacbgd
bgceadf fgedcba
fcgabed bcadegf
cbgedaf bdecgaf
faedcgb abefdcg
gfecbad acfgdbe
gedcabf abcegdf
gfcaedb baedgfc
gbceafd gfadecb
fadecgb cebadgf
bcegafd feadbcg
dgebfac debfacg
fagedcb cafdgeb
bedgcfa acgbfed
fabdecg fgeabdc
bdgcefa cdbafge
dcgfaeb agedcbf
bcdafeg degafcb
cefdgab bgdacef
fcgebda dbfaegc
bcdagfe gcefdba
gebdcaf cfgaebd
cefabdg fegadcb
deagfbc cdbaefg
begfdac ebfdacg
aegcdfb fdcbage
gcfaebd daegfbc
fbgacde acfgbed
gbecadf ecbfdag
fgdbcae bacefgd
gfcbead dfaecbg
cabedgf egabdcf
becdgfa cegdfba
cbdgeaf bfcgead
fcgebad egfdcab
cefdgba dbegfca
dgcfbea adegcbf
ecgfbda fabdegc
begfcad gadbefc
fedcgab cbdagfe
dgcbefa fdegbca
edcfabg bcgdaef
fdagcbe dfcebag
gdefacb cabdgfe
ebdfacg becgafd
dcbagfe aecfgdb
cfbgade fcabegd
gfdaceb fcegbda
gdebafc agcdefb
ebfadcg cdgfaeb
cfdebga dfegcab
gbefcad ecgfbda
bcegfad cdeafgb
egafbdc fgedbac
gefdabc fdegabc
fbedgac bgdafec
cfdgaeb bgdfeca
gebafdc dgbefca
dfegabc cdfgaeb
dbfegca cebfgda
dfaecgb fbgeacd
dcfgeab bgefdca
fecbgda fcdbage
cdfbage egacdfb
cfagebd efbagdc
bdfaceg gfbeacd
efdcabg fdeabcg
cbafged dgcefab
dfgaceb begfcda
fbaedgc gaedbcf
fdcabge gfcebda
caedbfg fgbaedc
adcegbf fabgecd
cbdfage efgbacd
dcaefgb befcdag
acedbgf cfdeagb
aedbgfc gfdeabc
dafbceg fgabdce
cagdfbe edagfbc
eafdgbc badefcg
ceafgdb fbegdac
bgdecaf caebgdf
ebdgacf dbfcgae
bcaegdf acbedgf
gdefbac ebdfagc
ecgadfb fagebcd
gcabdef bdcaefg
cebafgd gceabfd
cebfagd cfbedga
cfdaebg aedfgbc
gbedfca ecagfbd
dcafegb eagfcbd
fbdeacg gdacfeb
cdagebf gdbface
fdgbaec cadfegb
afecdbg gecdfab
fbcgead febadgc
aedcfgb cfadbeg
dfcegab gcfdbea
agfbecd gcedbfa
edacgbf dfecbag
egcdfba fbedacg
dfcbega faecbgd
ecfbgda baecfdg
faegbcd faedcgb
cgfbaed gfdbaec
bfedcga efbacdg
agdebcf edgcafb
beafcgd fcdbgae
dcbafeg agfebdc
cfgedba afdbgce
gcedfba ecfbadg
gbcedaf fdcebga
fabcedg gdaefcb
fgcbead bdgfcae
cdbfeag gcebafd
cbdagef ecfabdg
gadcbfe fbdcage
dbcefga agfdebc
edfgbac fabcged
cbgdaef cbaegdf
degacbf efcdgab
afdcgbe afecbgd
adfgebc bagfedc
fbgedac badfecg
gfadecb feadgcb
dcaebfg cbfaegd
bgfdeca gecafbd
dcbfega cegfadb
gfadecb feadgcb
egfcbda bfcagde
fecbadg fdgbeca
egcbafd ebcfgda
begcdfa fdbaecg
eabgdfc bgdcaef
cfagdeb gdfaebc
agcbdef cafbedg
bgfaedc fgcbade
edafbcg adcfgbe
dgbeafc gdfbeac
ecfdabg dcebafg
dgcfbea adegcbf
ebfdagc dcgeafb
fagdecb efdcbga
dafcgeb gbdfeac
agcbefd fbecadg
gcafedb dgfecba
adebcfg faegdcb
cdgefba cbadgef
ecdagbf gedfacb
ebdfgca fbadcge
cafegdb baefdcg
gdebfac bfadecg
fgbecda afdcegb
daegfbc deafcgb
dgaecbf bdagfec
ebdafgc gfabedc
bdegacf debcgfa
agfedbc cagbfed
defabgc cabgdef
abgefdc eadfgcb
gcbaedf gcbeafd
eafbgcd gefacbd
afebgcd gecadbf
gdabcef dgcafbe
egbcfda gbfacde
ecbgfad gbadfec
bgeadfc egfbdac
cgafdbe bfcaedg
cfbgeda beafdcg
bgcfdae caefdbg
aefdcbg gceabdf
dbgfaec bdcafeg
bacfedg gabdfec
fcgabed bcadegf
cgafdbe bfcaedg
feadbgc dfaecgb
bdgefca ecfgadb
dceabgf dbegacf
bfgdcae defabgc
dbefagc cgfaebd
bcafdeg daefgbc
bfeacgd bgdfeac
fegbcad fcdebga
adcgefb gafdcbe
bdgfaec ebacgdf
bfgedca bdafgec
gcabedf cdbfaeg
baegcdf bgcafde
ebcdfga fcegdab
abgdfec fagdecb
bdcfgae gcbefda
efbdacg acgfdbe
cabegdf gdaefbc
gbcdefa ecdbgaf
ecafbdg dfgbaec
gecadfb fbcdega
febdgac fadbceg
ebgdafc cdfgbae
fgacdbe fegdcba
cbfadeg bfdeacg
aecbdgf edacbfg
dgcabfe fcdabeg
aedcbfg cefgdab
afgdcbe bcaefdg
aefgdcb dgfaecb
adebgcf edgbafc
dbfgeca decfbga
fgebadc fbceadg
bgecafd begacfd
gcdefba dfegabc
dagfecb gbecafd
decabfg ecgbdfa
dcfaebg gcaefdb
afcegbd acdegbf
fabegdc dbacefg
bdgfeac edgcbaf
cbefgda bacgefd
bgfaced dgacfbe
fecbagd acgedbf
dbegafc edbafgc
bfadgec gcaebdf
baecgfd cegafbd
bcfdaeg fcegadb
bdcefag bceafdg
edbgcfa ecfbagd
dgfcbea afdbegc
edgfacb bgcfdea
efcdgba edagbcf
bdaefgc fdceagb
dgbeafc gdfbeac
egafdcb afdecgb
agbcedf eagdfbc
bgacfed beafgdc
eadbgfc fdcbega
badegcf edabcgf
ebfdagc dcgeafb
gdfacbe bfdgeca
dagbefc fdcgbae
cafgbed begfadc
efcgadb cadgfbe
bgadfce agcdfeb
cagbfde agcfebd
cegbfad bfcgdae
cdaebfg fbcgdea
dfgbcea fbgdaec
fagbcde cefgabd
fcaegdb dfceagb
dbgaecf efcabgd
egdbcaf bcgeafd
bfaegdc cbdafeg
ecfdabg dcebafg
ebfgadc feacdbg
degbfac fgbedac
dfbacge cdegafb
eacbfgd ecgbafd
abefgdc bcgdeaf
fgadbce feacdgb
egbfadc gbfdeca
acdgfeb adegcfb
efdagcb fdaebgc
aecgdfb fgcbdae
dfbgace gcbdeaf
acfebgd cfebgda
gcfadbe aegcbdf
gdabefc fceagbd
gdbafec fcegabd
begdcfa abgcdfe
dbecfag egbdfac
acebgdf bgeafdc
fcgdbea egdafbc
ebcgadf gbeadfc
agbfced cebgafd
dcbagef gcebfad
acbdegf gbcfaed
gedbfca baedfgc
gfbdace gefcdab
bcagdfe abfdecg
dgfabce efagcdb
agfdbec edbgcfa
fdegcba dgabecf
gafcbde efdbacg
aefcdgb agcbfde
efcgbad bagcdef
fadbecg efgdbac
gaefdcb aedfbgc
aegfcbd acbedfg
gcafbde febdgac
aedfcgb cbdfgea
dgacbef acdgefb
adfcbge gdcabfe
gafbcde gcbedfa
eadbfcg gfadcbe
abefgdc bcgdeaf
dgeabcf gadfbec
fbcagde bdfgeac
bgdface gbfdace
efcabdg cdgeabf
fcdbgae ebdcgaf
bdcgfea dfbcaeg
gcdefba dfegabc
abdfceg bcgdfae
dabefgc adfbegc
agbdcef gdebcaf
fbdecga eabdgcf
aebcgdf agedfbc
fdgeabc dfbacge
fbcaegd egdbafc
ebdfgca fbadcge
cfebgda bacdgfe
cegdfba bfcadge
gfdecab cbfedga
fbacedg gdabcef
gaecdfb bgfaedc
gcefbda ebgfdca
cfgbeda bfeadgc
cbgafed fgacebd
gfabdec bgdfaec
bdfegca gdfebca
aebcgdf agedfbc
gdfbaec gadcbfe
dcaefbg fbcdage
gfadebc cbdafge
gcfaedb decgfab
gcbaefd abecdgf
cabdefg abdcgfe
fcdegba bdegfca
bdgacef fdbgeca
afbdgce fegcdba
fgdacbe cafgdbe
geafdcb dgcfbae
gefbadc dbgefac
gcabdef bdcaefg
ebdgfca abdecfg
eacfdgb dbfcaeg
fceadbg cgaefdb
cfedgba cgdbfea
cdbfaeg befcadg
dabfgec cebfgad
daegbcf gfdceba
efgdabc bagecdf
cefbadg bgedcfa
aefbdcg abegdcf
dgcafeb becfdga
afbcdge abefgdc
egbfcda bgcaefd
fdgcbae edcagfb
ebacdgf dfagbec
fdbecag fgceadb
efcgabd bfagced
abecgdf cbdfage
ebdgfac cfaebgd
geafdcb dgcfbae
cdbafge debgcfa
dfebagc efcagbd
gfcedab edbcfga
degbcaf acbfdge
bdegcaf efcbdag
cdebfga cafgbed
bcegafd feadbcg
agefcdb bafgecd
eacgbfd bgcedfa
egbfadc gbfdeca
dcaefbg fbcdage
cafgbed begfadc
gcbdefa gcbefad
egfdcba fgaedcb
cegdabf bgfadec
eadgfbc fadbgec
dbfegca cebfgda
cbeafgd bfcdage
cfgedba afdbgce
gcedfab gdefacb
bfdcage gcfbeda
dgbafce gacdfbe
acegbdf bgdecaf
adbfcge fegcbda
eadcgbf fdagecb
fdgaceb degbacf
fgecbda cgebafd
cadbefg gcedfba
fgdceba efgbcda
gedafbc agedbfc
bcagedf cgdfbea
gbceafd gfadecb
acbdefg bcgefda
ebafcdg fbadceg
dfacgeb cbgdefa
dabfgec cebfgad
dfgbeac ecdafgb
dfagceb cegbdaf
dcbgfea ebcdagf
fgceabd efbcgda
gfbaced cdbgfea
dcbfgae ebfgcad
cbfegad cdebfag
afecbgd cedagfb
bdcgfae ebfgdca
cbaegfd eadgfbc
dafgbce fcdbgea
fcbedga acdfegb
acfbedg caedbgf
dfcbgea fedcgab
fagdbce abgcefd
defabgc cabgdef
fdecgba edgbacf
afbdgec fgcebad
cfgeabd afedbcg
gadbecf ebacfgd
agcbdfe gbedacf
febadcg begacdf
fceabgd cfeadbg
egfdcba fgaedcb
fagcbed cfgdaeb
dcgfabe cdagbfe
fbdcgea bgcdafe
bdaefcg aedfgcb
fadbgce aedfcgb
ebdgcaf ecdbfag
cfadgbe dgbaecf
gdecbfa gdbfeca
edacbfg fcdaegb
fcbdage bcgfaed
bfgdcae defabgc
efcgabd bfagced
gdbacfe beacdfg
bedgacf bfaedcg
baecdfg cbaefdg
ecbagdf efbgdca
fbgecda cfedgba
edgcbaf gcbfdae
bcadfge fgdecba
aefcgdb ceagdbf
dgfeabc gfdcbae
gfeacbd bfagecd
eabfgcd egfcdba
eafdcgb bgafdce
decgafb cbedafg
gdefbca bdagefc
gefdbac gdecbaf
bcdgefa bgcfeda
dfbecag gfaedbc
ebfdagc dcgeafb
cbedafg egacbdf
afcdgeb gabecdf
bacgfed cefdgab
bgfadce gebacdf
ebacgdf gadefbc
abegfcd afbedcg
eafcdgb adbcgef
fcaegdb dfceagb
afdcgeb bacgdef
gfcbaed egcfdba
dfgcaeb gacdefb
dacfgeb bdaecgf
ecfdbag edfagbc
dafbegc bfecgda
bcgaefd ebdcfga
gfadceb adcbgfe
gdcfaeb agcbdef
fabgecd bgdcfea
dcbefga dfaebcg
fcebagd bcdegaf
cgefbad bgfcdae
cadegfb acfegdb
bdfgeac gdecfba
cfedgba cgdbfea
dfbcaeg gcdbafe
adbcgef bfgdeca
agfdecb edcbfga
begfacd cgfedab
bgedcfa cdbeafg
cfbegad gecdbaf
edbcfag gebfacd
bfdgeca cdgbafe
dbagcfe cafdgbe
fgdceab febdcag
fbdegac bceagfd
dbcgaef fdgebca
bdagfce fecgabd
caefbdg gafbecd
bdgfeac edgcbaf
adbcgef bfgdeca
debgacf dbfgace
edbcagf gbfdcae
dabfgec cebfgad
cbaedgf gcbeadf
abcegdf feacgbd
bdcagef dcgafbe
cbegadf ecbadgf
afgecbd gadbcef
daefbgc faedcbg
fcdgbea ebagfcd
fceabdg bcagfde
cabdegf gfdbcae
ecbgdaf bcafgde
bacgfde gcadfeb
fgedbac fagdebc
cdabefg fedcbga
edcgfba edcfagb
egfcdab dceagfb
ebafcgd acbfedg
dafgecb gafecdb
fabgecd bgdcfea
gbdeacf gcdfabe
edabcfg ecfdabg
eagbfcd badfceg
cdeafgb dbfgcae
degafbc bacgfde
dgfecab cdfabge
agefcbd ebfgadc
eacbgfd acgfebd
gdfaecb cbagfed
efagcdb bcagdfe
efbgcad agbfecd
abdcgfe eacbgdf
bcaefdg bcdgaef
cfebgad dbaefcg
adcgfbe cbgadef
bcgfeda cbgfade
fcadebg decgafb
bafgedc cdbgfae
bcfdega efagbdc
fcgaedb fgabdec
cdbagef ebcadgf
eafgdbc gfeadbc
fcbadeg gacdbef
cfgadeb gefcdba
ecadbgf bacfdge
gfaebcd gaebdcf
gadfbce abecfgd
acdefbg cabdefg
cefgbda facdegb
cfegadb dcagbfe
cefgdab gbefacd
afcbgde afbedgc
gdcfeab dbgafec
aefdbcg dfbeagc
egdfcab gefdbca
dgbcaef abfdceg
faecbgd fbagcde
bfegdca cgbfdea
bcgfdae cgafdeb
ecabgfd fgadecb
cbedgaf bedgacf
bfaegdc cbdafeg
edgbfca aebfgdc
cegfdab egafbcd
aefcgdb ceagdbf
decfbga fegabdc
fbagced dafgecb
gdeafbc cdgbeaf
dgcfeba fabecgd
bgfdace cgbdfea
dgbfcae cagbdfe
aegdfbc cagedbf
bcfegda bfecdag
fagdceb cfdgaeb
cgaefdb fedbacg
bfegdac gaedfbc
bgedacf ebgdfac
bgdeacf dagfbce
adfecgb bdgaefc
cagedfb dagcfeb
egfdbca dgebfca
acgedfb gdafbec
gfbcdae dcbeafg
dcgeabf fegbdca
cbaefgd decgbaf
fgcdabe gaecdbf
abfecdg cgedafb
ebgdfac fdgacbe
fdbaegc agefcbd
cgaefdb fedbacg
bdfagce afdbceg
gfbceda degacfb
acbefdg fbagecd
dbacegf gacedfb
cdabgef badcfge
cdafgbe cfgabde
bfceadg efagdcb
gdbcefa faegbdc
cbgfaed egfdacb
gefcabd dabgefc
ceadbfg faebdgc
facedbg baedcgf
aegbfcd cgefabd
daebfcg fecagdb
dfgcbae fecgbad
agecdbf egbfdac
aedbfcg cafegbd
ebdfagc acfgedb
facgbde abgfedc
dgbacfe fecbgad
acgdfeb egabfdc
fcdgbea ebagfcd
edfbacg dfbgeac
dcegbaf abgdcfe
eagcdbf bgacdef
gbefcda gbfaced
ebcadgf cgadfbe
fedbgca edbfcag
gadbcef cbdgeaf
fegadcb afgdecb
fecbgad cbgefad
bcdfega afegdbc
acfdgbe bfgaced
edcgafb fadgebc
fdebacg agbefcd
cfebdag ecgadbf
egcabfd afgbedc
gdfeacb agdbfec
acbgdef egcadfb
ecbgdfa adfebcg
ecbafdg gfdbcea
fcbdage bcgfaed
feacdgb bagfdec
abfcedg bfedacg
gabfdec acfedgb
gdfbaec gadcbfe
facgdbe fcdaebg
bcdfgae afbecgd
bgfaced dgacfbe
gdcefab ebagcdf
dfgeabc dcabegf
gdacebf afbegcd
agecbdf bcfdgea
afbdceg afcebdg
egfbdca cfadgeb
cdefbga caegdbf
dcabgfe bdeacfg
bfcgdae abgfced
agebfdc ecafgdb
ebadcgf cbegfad
fegcbda befdgac
efadgcb adbecfg
badcegf dfabceg
agcbefd fbecadg
bagdfce dagcefb
fdacebg eabcgfd
cedfbag ecbfgad
gbadcfe fedgbca
fbdgcae ebgacfd
bcfgade bgfdeac
bedfgca gcfeabd
adcgefb gafdcbe
bfecgda adcbfeg
bgaefdc bdecgfa
dbfaegc gcbdafe
fadgceb bfgdaec
abcdefg cbefdga
dgafbec gbecadf
edabgfc defagcb
fgebdac adbfgec
bgadfce agcdfeb
cegfdab egafbcd
acegdbf caegdfb
gcdefab gdbafec
dcaefgb befcdag
edbfagc gedcabf
agbefdc aedcfgb
aebdgfc egcbadf
bfdgeac edgcfba
bgacfed beafgdc
acbefdg fbagecd
ebadgfc dgfeacb
gfebadc egcdfab
agcbedf aefdcbg
fbacdge fdgbeac
cbefgad edbfgca
dagcebf cgfdbae
bdagefc adebcgf
acdbegf dcebfag
fcbdgea afcgebd
dceabfg fedgcba
egacdfb dfcabeg
dcbgfae gdebacf
abfedgc egacfbd
cdfabge cgfbead
ecgfdab afecgdb
acgbdef dfeagbc
efdbacg daecfgb
ebdcafg eabgdfc
dcbefga dfaebcg
afedgcb ebgdcfa
cdabfeg aebgdcf
bdgaecf fbedagc
cdfbaeg cfabged
fdaebgc dcefgab
gfbcead agbfdce
egdacfb ebfadcg
egfdcba fgaedcb
agfbedc gcbfade
gbcefda dgebfac
ecbafgd bgaecdf
agfdcbe bdacefg
ecdbgaf edcafbg
fgdbcea dcebgfa
defcbag ceadbfg
edagbfc bcdegfa
cfeabdg dcbgefa
feabgdc bfadcge
bgdacef decabfg
gfdabec abfgdce
gdacbfe bacfged
dacbefg edcbagf
afgcdeb eafdcgb
edacgfb ebacgfd
fbaecdg bcefadg
ecdgafb bafedgc
aecdgbf ceafdbg
cdbgeaf agfdcbe
daegbcf gfdceba
gbacefd dafegcb
ebcfdga cdbfega
ceagdfb dfgcabe
febgdca dcbgafe
abdcgfe eacbgdf
cdafegb bdcgfea
gdabcef dgcafbe
fbdgace dcfgabe
egbcafd ceagfdb
dbafcge bgedfac
cgfabde geafbdc
dfegacb gacebfd
gfadcbe abdgfce
cgafdbe bfcaedg
ebacdfg afgcedb
daebfgc dcgefab
bcgfdea dfgecab
ecfdgab bdcfeag
afgbecd beadfgc
dbcaefg agdbcef
begdcaf eacfdgb
defbagc dgecbfa
bfcedga fgadcbe
deafgbc debgafc
acbegfd dfgabec
cbdagef ecfabdg
bcfdega efagbdc
bcdegaf fdaecgb
aefgbdc gaefdbc
dfegbac dcgbeaf
gbfadec fdeagbc
bgeacdf fecgbda
dcabfge bdeacgf
dbecfga dgbeafc
eadfbgc debcfga
adfegbc bcfdgae
bafgecd fedgbac
deabgcf dcefabg
cdabgef badcfge
aecfdbg cdfegba
afgcdeb eafdcgb
dagbefc fdcgbae
fgeacdb eadgcbf
bacgdfe agfdceb
acdfbeg fceabgd
fedgacb dcagbef
gdebfca cefdbag
adgfcbe fbdgaec
ebfdacg edgacbf
efbadgc fcedbag
badgcef abdcgef
bgfadce gebacdf
efgabdc adgcbfe
dcbfega cegfadb
gebdcfa gbcaedf
efbagcd gaebcdf
edgacbf dfgbeac
gafdbec ecbgafd
dcbefga dfaebcg
gcbaefd abecdgf
gefcadb gedcafb
afcbdeg afcbgde
caedbfg fgbaedc
gcefbda ebgfdca
adcegfb dabegcf
fgcdbae gdbfcea
dcgefba bcdafge
bedacgf ceabgfd
gdcfabe dgfbace
bfdagce cfebgad
fcedgab acbgdfe
gdfbeac cfdabge
geacdbf edacbgf
fdbgaec febdgca
afdebcg beagfdc
gdcfbea gdcfabe
fcebdag bgfadce
gaebdfc cgefbad
gbadcfe fedgbca
deagbcf efacbgd
daecbgf aebdfcg
gdbfeca fagcdeb
adbcefg gecabdf
geacdbf edacbgf
bgfeadc cgfbeda
cgedabf febgcad
facdgbe dceagbf
gdfceab cagfbed
eafcgdb fecdgab
fgdeabc bcgafde
dfcabeg ebgdafc
egbafdc bdacegf
fedcgba cgaebfd
cbgdeaf fgadceb
cgbdeaf fdbgcea
fegdbac agbedcf
caebdgf gdfecab
cbdfgea bdgefac
agecfbd gdeabfc
agbefcd dgbecfa
cebafdg fgbaecd
afbgedc cbafedg
bfacdeg gecfabd
fbedcga egcadbf
cgedfba abedcfg
fbegacd dabcefg
cgeafdb acgbefd
decabfg ecgbdfa
bedcfga dbgfcae
gfebcda facegdb
abdcefg fegdcab
gfeacbd bfagecd
efcdgba edagbcf
debacfg fegcadb
gdafceb fdgcaeb
adcbgfe edgbfac
ebgdfca bfcaegd
fcgbdae dfgbeca
dgcfaeb gbdefac
agbdefc defcgab
afbcdge abefgdc
bagecfd gafdecb
abcgdfe fcbgade
adfgceb dbecafg
efadcbg ecgabdf
deafgbc debgafc
gdcfabe dgfbace
feabcgd dgbfeac
egadcfb aegbdfc
afegcdb fcgbeda
agdcebf acfdebg
gefdcab fgabedc
dfabceg gbecfad
dbcfage debagfc
geafdcb dgcfbae
dbfgace acfebgd
dcafbge ecfabgd
bacefdg eafdgcb
eabdgfc fgeadbc
cdfegba gecafdb
efbgdca cdagfeb
edagfbc fbgceda
fgbeacd febacgd
gadebcf fdebgca
bfdegac gbdceaf
gbedfac fbgcdae
faecdbg daegfcb
dfcabge edcfgba
fdagbec fcbedga
adfcbge gdcabfe
cdegafb bgcfead
bfgcead fcgabde
abcfgde bedfgca
gcfdbae abedgcf
aefdbcg dfbeagc
fcedgba dfgabce
cdagbfe gfbdaec
fagedbc badgfce
eadgcfb facebgd
caefgbd gdafebc
dgebcfa aedcgbf
ecbgfda efgcbda
cgefbad bgfcdae
bcdfgea ebfcagd
cegabdf dacgebf
decabfg ecgbdfa
acebfgd deagbcf
fagdbec dagfecb
cbedfga aecdfbg
gbcdafe dacbefg
bgafced dcabfge
debcfag gdabecf
daecbgf aebdfcg
dbecgfa deagbfc
adfgbec eadcbgf
fgbeadc afbgecd
bafdegc cbafged
bcdgfea cafedgb
faebcgd adgbfce
dcegabf bfdaecg
fcaegdb dfceagb
dbceafg cfdgabe
debcgaf efacgdb
bcagdef beadgfc
cfbegad gecdbaf
dbfcaeg gabfecd
afdgbce dcgaebf
egabcdf bedagfc
facedbg baedcgf
eafcdbg cafgdeb
abfegcd efgadbc
cbgeafd gbdaefc
becdgaf gcbfeda
gfedbac gcdbfea
egfacbd eagbdfc
cgdebfa edfcabg
gbfaced gfdbeac
abfcgde daegbfc
bgafedc debgfac
bcafgde eabgdcf
gdbefca fcaebgd
gdebfca cefdbag
fgbdeca abdcegf
feagcbd afbdceg
adbgecf aegcdbf
efgdabc bagecdf
gbcdfea eafdbcg
afcebgd edfgcba
bafdcge ceabdfg
debcfga egabcfd
adgbcef agbcedf
bagdfce dagcefb
dgcebfa ebcgafd
edgabfc cbfdgae
afbedgc cdgefba
egbdcaf bdgfaec
cbfdgae efdgcab
bfceadg efagdcb
afebdgc eacbdgf
gadcfeb bcdfaeg
gfbedca cgfdbea
fcdegba bdegfca
bcdfage dcbgaef
dfbgcae decbagf
bdagcef dcagebf
dfcegba egcbdfa
afebgcd gecadbf
abcdefg cbefdga
abedcfg bdafcge
ecdgafb bafedgc
abefgcd dbafceg
bgfedac dbagcfe
afgebdc adcfegb
gfecadb dfcegba
acgdbfe eabdcfg
cdgaefb acdebgf
fbgaecd abfcegd
