There are 9257 factions playing the game of thrones
cbhfjgdiea daehcbigfj
debfghcaij ieajgbchdf
ejbahdfigc cgfejbahid
dhaecfibjg cfeiahgdbj
fbicdajheg efhibacjgd
fjchbgeadi bdfiehacjg
eabjhdfcig hfbciajdeg
gjdfchabei ciafgejdbh
daebfcijgh cdeafjbihg
hcdjagfibe bcheijdfga
dcahfigbej dfhjegciba
iefjhcadbg cbahifdjeg
cbfhdajieg cebgjifadh
ejigafhbdc bacfdigehj
ebgfhajcdi fjbgiceahd
gcdjaeifbh bjdfiehgca
edgfabhcij gefhjdacbi
cgdhjefiab fhgeijbadc
dgchfibaej ebahcdjgfi
hdabcgjeif chjaefidgb
dcijgfhbea jhciaegdfb
gicfjbadeh ihefcjgadb
ejfidbachg jdfgaibhec
ifegdbachj jgabcihdef
ajecgbfhid fejgdchbia
jcagdibehf dgheiabcjf
becahidgjf fcjgdahibe
daehicjbfg biagechjfd
aijfchgbed egjhcafidb
bfcdiaejgh geahficbjd
facgidbhej caihfbdegj
fbgeajdchi hjgebacfdi
hebcjdafgi ceifgdhajb
hcgdaiefbj gchfbijaed
fiedjaghbc iajcdbehgf
ecbgahdjfi idheajfbgc
bfihdegacj bfcdihgjea
eadcgjhbif fjgdcehabi
bjefahcigd fidbghejca
hgdcefjbai ijedcafgbh
dgjcfebhia ehdcfjbgai
egcdabijfh dghjeabicf
hjbdagiefc fhcdbjiaeg
hdjbfeciga hgabdifejc
jdgfeibhca fedcbhjaig
ifeagdjhcb bgaecjdifh
iagbhdfecj ihegjfadbc
idbeagjchf cjafdihebg
aeighcfjdb jhciebgdaf
adfhjcigeb hjadfcgeib
gdbejhicfa cijhedgbfa
bgijfdhcea fcjeahbdgi
gjfadeihbc bfgecihdja
dajbefcigh jabhigfdec
acejghbfid jfhdegciba
cdgeifhjba bejhcdagfi
bgfahejdci hfejdibacg
dicgafbhje ieghadfcjb
hidegcabfj edjighbcaf
djacigfehb ehbiajcgfd
djifaehbcg bgedhajfic
ebgciahjfd hdgafibcej
ghfajdcieb jhfebgdcia
gedbahcjif fidjgebhca
gjefihcdab cgbdaifhej
fcjhdagebi haijbfdceg
jebghidcfa achifebjdg
fecbidhgja hbigjdecfa
hefcbgjaid dhegbaifjc
bgjdhcaief bcegadihfj
bfgiacedhj bdcjifghae
hdicjfebga efaijgcbdh
bijdcfheag ahjgfcebid
fdgahebicj hdacgifjbe
acfebhigdj ihbeadfjgc
bfjahecgdi igbdcfajeh
ijachbedfg ijcbfhadge
hjfbgedaic eahcfjgibd
jhiaefbcdg gdbifhjeca
idafchegbj hjgfieacbd
eafijhdcgb gicdajebfh
befghciadj aejfgchidb
acdjibhfge beidfhgcja
jhicfdgaeb fjgcibeahd
djcaibfgeh edchaifgbj
ahecfdgjbi bgdfaejihc
