5000
dfcabge edcfgba
dbacefg ceafbgd
fbdcgae bcafegd
bcfagde efgacdb
cgbafed bcfaegd
fedacbg dafcbge
bcgfade fagbedc
aefdbgc ebcfgad
bdfeacg dcfbgea
gbedacf bfgadec
dcfabeg bgeacfd
cegabfd adcefbg
bfdceag dgcbfae
bafdegc cbafged
gfbdcea ecbafdg
ebcfgda gdbeafc
fcdegab egdabcf
fecdbga dcfbeag
adcgebf dbfaecg
begfdac ebfdacg
abcfged cfgdbae
abefgcd dbafceg
dfbegac fcgbade
ecfbadg dfeabcg
cbafged dgcefab
cfdaegb gafcebd
ebacdgf dfagbec
egafbcd bdaefcg
caebdfg eafcbdg
agfdbce abcdfge
agcdefb gcefadb
gfecdab fdaebcg
bgafced dcabfge
gadbecf ebacfgd
badefgc fbgadce
caedfbg gecbfad
adgcfbe afdcbeg
adgcefb bfdcgea
abecfgd fedbgca
agdfceb fcgdeab
bagdecf ecfgdba
gcfaebd daegfbc
ecbdgaf cbagdef
aecgdfb fgcbdae
fbcegda cdfeagb
fcgabed bcadegf
edgafcb geacbfd
edgbafc adfecgb
abegcdf bedafgc
dfbgaec ebafdcg
dbgafce bgcdeaf
agfbcde bdfaceg
bfeacdg agcfdbe
gdcfbae gbfaecd
bgfceda dgfabec
agbdefc defcgab
fgebdac adbfgec
gfabedc acdbegf
gdfceba afdbgec
cegdbfa adcgbef
agedbfc gebafcd
defbacg fceagdb
ceafgdb fbegdac
fgcabed cedbgfa
bgdfeac facegbd
cadgbfe egbfadc
befacgd cgadbfe
bcgdafe eabfdcg
geafbcd abcfedg
dgcfbea adegcbf
gcabfed efdacgb
daecgfb bcedgfa
dceafbg fcabged
fcaegbd ecbdafg
dgcabef defacgb
fgebdca gbdcafe
becadgf cadefgb
cgdbfae dagcebf
fgcabde gecfbda
edcbagf dgabcef
febgcad fegacbd
dgbcefa bcedafg
gdbecfa fgcbdea
dcabegf ecadgfb
dbcefag dgacebf
dfbecag gfaedbc
dbgface aefdbcg
degcbfa eagcdbf
bdfceag bgaecfd
eafgdbc gfeadbc
dgfeacb gbdcfea
cegfadb bdegcaf
dbgcafe eabcdgf
gdfabce bfdceag
edfcagb bdfgeca
gfedabc degabcf
fecadbg cedbfga
abfdecg bfedgca
afebcdg cbagedf
gabfecd cedgfab
cfbgaed becfdag
bdafecg edfbagc
bcefdga bdcfage
afgedbc fbcedga
bfgacde fdegcba
cdgafbe ebdfcga
eagbcfd facbgde
fbgdaec bcdefga
gdacfbe fabgced
dgabecf acfdbeg
fdaebcg cgbadfe
ebdgafc dfabegc
fbgaced adfbcge
ecbdfag deabfgc
egcfbad acfbedg
cbgfead agebdcf
aedcgfb fdgbaec
cefdagb cgaebdf
fgabedc fedagcb
cebgdfa febgdac
ebfagdc fcbdeag
badecfg cdbafeg
dfcgbea aefgbdc
gcdafeb dbeacgf
cfdbeag aecdbgf
bcgaefd ebdcfga
fadgebc gebcdfa
faedcgb abefdcg
baecgdf cefabgd
adfecgb bdgaefc
gdfecab gbfcade
gaebdfc cgefbad
degcfba gfdebac
gcbfade gfecadb
fdeabgc egbdfca
bdfgace gdfeabc
debfgca efcdagb
dcafebg cfgbaed
becfdga acgdfeb
cdgabef eagcbfd
eabdfgc defcabg
ecgbdaf eafgbdc
gabefdc fagcedb
aefcbdg dgbacfe
fgcdbea fegabcd
dgbface dbecagf
adfgbce cgbfdae
fcadebg decgafb
bdafcge dcefgba
fgbaced fcebagd
adbcefg gecabdf
cbdegaf gfdcbea
bgaecfd cadbefg
bgacedf afbdecg
geafcbd fbdeagc
acfebgd cfebgda
dgbfcea debgacf
cegfbda fbdegca
fbcaegd egdbafc
bgcfeda gcfadeb
gaedcbf feagdbc
ebgdafc cdfgbae
dfeabgc gdbafce
egbacfd bgadfce
ecgdbfa dcfaebg
defcgba bfacegd
cbadgfe fcgdbae
dfcebag egbdcaf
febgacd bafdgec
gcfdabe dbgfeca
egfacdb degbcfa
ecfadgb ebadfcg
afbgdec edcfbag
fgacdbe fegdcba
acefgdb edcbgaf
bdcfgea gabefdc
agdecfb cgfdeab
cbaefgd decgbaf
dgecafb gcefabd
fcbgdae bafcdge
dfegbca dcgbfea
eadcgbf fdagecb
dbcfgae bgdaefc
fdgaebc adfgbce
ebadgcf gdbecfa
ebcfdga cdbfega
dacgefb cfgdeab
gbdefca degbfca
debacfg fegcadb
dceabgf dbegacf
dfebagc efcagbd
cebfagd cfbedga
beagfdc dabgcfe
cbefagd fbgdace
dbcfega gfbacde
fbaecdg bcefadg
fcagbed bafcged
eabfcdg ecbdgaf
bfadecg edcabgf
afbgecd dcabfeg
dbcgeaf bcgedfa
dfgbeac ecdafgb
dfcbaeg cfaebdg
feabcdg cfaedgb
cdbfgea dabcgef
gdeacfb fcdabge
dcgfaeb agedcbf
aecbdfg cbdaegf
bafgced afgbcde
acbdfge dabcegf
dbfgcea cbadfeg
cefbadg bgedcfa
fbgdeca abcfgde
gfadbce agcedfb
bfgceda gefcbad
gebadfc faebgcd
cgfdeab agefdcb
ebcagfd acgefdb
ebfgadc feacdbg
fdcgaeb agebcdf
bdfagce afdbceg
gfcaedb baedgfc
fcagdeb fedbgac
dacfebg bcfedag
gbedfac fbgcdae
cgbfaed fbedcga
efdcgab dafbgce
fagbecd cegabdf
ecadfbg gfdebca
agcedbf bgceafd
gedabfc egcafdb
cbgdfea dacebgf
befadcg cgbadef
gebacfd gebdafc
agfcbde adgcfeb
dceabfg fedgcba
egdfabc dcafgeb
fbadgce bcgdfea
gbcedfa dgfbcea
bcegafd feadbcg
aedbcfg cfeagdb
gfbdcae fgdcbae
dbfegca cebfgda
gecdbaf edacgfb
fegdbca febcdga
cfdageb dbacgef
defacgb dafbegc
dcfgbae bfcgade
ebdfcag dacefgb
dbaefcg befdagc
eadfcgb cfegdab
aedgcbf bgfcaed
fbcadge decgabf
adegbfc fgcdbae
fgdbace cgdaebf
afcbged badgfec
cabegdf gdaefbc
fegdbac agbedcf
efadcgb bcgfdae
egcfabd bfcaged
edbcgaf gadbecf
egcbdfa afgbecd
afgcdbe edgabcf
bcgafed bfgaecd
fagcbde adefcbg
efagdcb acdegfb
bfgaced fadecbg
bceadfg egdfcab
fdgceab gcfbdea
efagdbc fcadgeb
efdabgc aefbcdg
gdecabf fadecgb
ebgdacf aecdgfb
fbgadec cefbgda
bacfged fdbcega
cdeafbg agdfcbe
bcdfgea ebfcagd
edbfcag cafbegd
dagbfce fgebdac
cdgafeb afcbedg
acbgedf aegcbfd
egadfbc becadfg
cadgefb bagcefd
feagbdc gdbceaf
fdegcab gcdeabf
bcaegdf acbedgf
dgbafce gacdfbe
bdagecf bfdegac
gedfabc fgacbed
dfgbace egcfbad
dagcfbe afcbdge
fbdecag afcbegd
gcdbfae cdfbgea
ebcadfg ecbfagd
cfadgbe dgbaecf
acdbgfe ecfdgba
gafbedc acefbgd
eadfbgc debcfga
edgbacf bgafdec
cabgdef dgeabfc
ecbdfga fbaecdg
fdgeabc dfbacge
dgeafcb becfgda
dbfeagc fedacbg
bgecafd begacfd
bfgeacd adcgfbe
gfebacd degcfab
bdfaceg gfbeacd
dcbegfa cefgbda
ecabdgf cgeabdf
fcgbdae dfgbeca
ecgbadf bdgface
dgfbcea becadgf
debgfac agcefdb
eabgcdf fabdcge
gebcfad cegabfd
dcabfge bdeacgf
dcfegab fbcdgae
edcbafg baefdgc
dagbfec gefdcba
cdgeafb cbgfead
beadgcf gbdacfe
dcbfage adcgebf
gebfdac dbeagfc
eagfbcd agdcebf
dgacfbe bgfecda
edbagfc cgedfba
cedbgaf bfgecad
cfdagbe fbdceag
dacfbeg bacegdf
aefcdbg bdecagf
gdbfeac adbegcf
afdecgb cdefagb
cbagedf acfebdg
bgcdfae cbfgaed
fgbeacd febacgd
egbdfca dfgbcae
fceabdg bcagfde
efgabcd gdcfbea
gbdceaf fbgecda
begfadc fgecbad
fgbaecd cdgfabe
acbgdfe ecdfbag
egcabdf acedbfg
gdcabfe dgefacb
cbgafed fgacebd
abefcdg dbfeacg
bgdcfae abgcdef
gcabedf cdbfaeg
edagfbc fbgceda
bgacdef dbecgfa
acdfgbe bfcegad
fcbadge dgbefac
dgaecbf bdagfec
gefcbad dacfbeg
egafdcb afdecgb
cegbfda dacbgef
gedbfac bfaecdg
decafgb abfcdge
fecbagd acgedbf
cdfabeg cedfbga
dbfaegc gcbdafe
gadebfc gdeacfb
fcgebad egfdcab
dcgbfea abedfcg
egbdfac efgbadc
bfadcge abefdgc
efgbacd gbceafd
dbaecfg cbegdfa
cfgdeab dbfgeac
adebcgf fdeabgc
abcfgde bedfgca
efagbdc dgceabf
gfabecd cefagbd
beafcdg fbdagec
gbecfad fdbcage
fdcgeab fdbeacg
gacdefb cdegbaf
edfcbga cgabfde
bagcdfe abecgdf
cbfgdea adcfgeb
becfdag edcbfag
defbcag beafcdg
cfbadge eacfgbd
fbecdga adfgceb
dcgafbe dbcaegf
bceafgd decbafg
gcbfead eacfbgd
eadgcfb facebgd
abefgdc bcgdeaf
egdfcab gefdbca
gacebdf facedbg
gafcbde efdbacg
efdbcga bcfadeg
daebfgc dcgefab
faebcgd adgbfce
facdbeg efbcadg
cdagfeb fdgeacb
gbadfec gbcadef
dgeabcf gadfbec
daegbfc gfdcaeb
abdfcge decagbf
dbcgfae fcbgeda
faebgdc ceadgfb
ebfgcad eadfbcg
cabgefd gbadfce
fgcedba gcbafde
dbafgce abfecgd
egfabdc gcbadef
ebdagfc dfebcag
ceabgdf cdgebfa
gbcdeaf daebgcf
edfgcab gebadfc
eabcgfd cafdbeg
edfcabg fgaedbc
agdcbfe fdgecab
dbfceag dafgebc
eadgcbf efadgbc
fcgaedb fgabdec
efbadcg dfagbce
facebdg egfdbca
agdfcbe cgaefbd
ebcafdg eabgcdf
bagecdf fdacebg
faecdbg daegfcb
dbfcega fedagbc
gaecdfb bgfaedc
cafgbed begfadc
bceafdg cabfegd
eagdfbc bcfgead
cbagdef bgcaedf
bgcfaed edabgcf
gcbedfa agfbdce
cfbgdae cbafgde
deagbcf efacbgd
gcfadeb gebdfca
cbgdaef cbaegdf
dbacfeg efbdgac
dfbagce fbcegad
agefdbc cfdgeba
gaefdcb aedfbgc
bfgdace dcfebag
cbfgade cabfgde
gfbaedc debacfg
fgceadb gbdefca
bdcfaeg afegcdb
aegcbdf dagcbef
bdgcaef bdefcga
dfecagb fbegcad
cegdfab fcadgbe
gefdacb eagbcfd
fedbagc aecfbgd
fgecbad befgcad
dfbaecg gefacdb
bgdaecf cegfdba
gafdbec ecbgafd
gbefcda gbfaced
cebadgf fegacdb
abgcefd dgefcba
begdfac dcbfgea
eabdgcf gbecdaf
dbcfage debagfc
aebgfdc dcgaefb
cdegfab bgafecd
cfedbga afdcgeb
fedbacg dafecbg
gacbefd dbefcag
egcafbd badcefg
adbgcef eagcfbd
fgbadce gedbafc
gbdfcea gfbdcea
edafbcg adcfgbe
cdbegaf eagdcfb
bcgadfe gcbfdea
bcfgaed dfbgace
deacgfb ecadbfg
acdegbf fdbgcae
gcfdbae abedgcf
agfbced acbdgfe
egafdbc bedfgac
bdgcafe cdabfge
bdfaegc eacdgfb
aebdcgf gedacbf
gdefbca bdagefc
gecafdb cfbaged
fecdgba dfbaegc
gafedcb fbgaecd
dgecabf dbcaefg
acdfbeg fceabgd
dbfcage befdgca
fcedabg edafbcg
eagdfcb cegdbaf
gcfdbea agcbfed
dbfgeac fdacgeb
dfgbeca agefcdb
ecagfbd beadfcg
dgfcabe eadbfcg
fgabcde baegdcf
abdcgef bdgcefa
fbcgead febadgc
gfdcabe gacfbed
gcedbfa dbcfgae
acdbfeg cgadbef
fgbacde eagdfcb
gfbcdae dcbeafg
daebgcf dfaebgc
dgebafc bdcfgea
dfecgba dbaefgc
cbgedaf bdecgaf
abefdcg ebadgcf
afegdcb gbdface
fecdagb afdgceb
defbgac cgbaedf
bedgcfa acgbfed
cfeadgb edfcgba
gceabfd fabdceg
fecgadb cfdbgae
cdbgeaf agfdcbe
cagefbd cgebdaf
gfbcead agbfdce
ecdabgf dgeafbc
cbefgad edbfgca
edgbfca aebfgdc
acfgbde acgdefb
bdgefac bfadgce
ecbfdag cfdbgea
fcdagbe gecbdaf
feadbcg fcbdaeg
abedcgf fbdaecg
dfagceb cegbdaf
cfdbgea agbdecf
gdeacbf ecgfbad
becfgda edfbcag
bcfgead cfedbag
egadcfb aegbdfc
bacefdg eafdgcb
daefgbc afcegbd
caegbdf gbadcfe
edbfgac fgbceda
becdgaf gcbfeda
cafedgb gebadcf
fabcdge fagecdb
gbdfcae cabgfed
cafgedb dfcbeag
acefbdg deacgbf
fgdecab dbeacfg
cbdfeag bcaefgd
acebdgf ceagbfd
dgfbaec ebdagcf
bacegfd deagfbc
ecfabdg dbaegcf
facbdeg decbfga
bdegcfa agcedbf
bgecadf aebcfgd
bdacgfe cfedagb
aedcfgb cfadbeg
ecfdabg dcebafg
gcedafb fdbegca
bdfegca gdfebca
efgcabd fdaegcb
gafedbc becafgd
bgdacef decabfg
aebcgdf agedfbc
fabdgce acebgfd
edfgbac fabcged
dafegbc dgfcbae
gbacedf fbecgda
edfgabc bfacedg
fbgcaed gebcfad
afcdebg gcafebd
acegdfb gdcaebf
gedfacb gcbafed
gecbfda bedfacg
cebfgda gdcafeb
fdgbaec cadfegb
agdefbc bgadfec
gcebdaf fdbgeac
gefbcda cbdeagf
ebcfadg fedbcag
agfdecb edcbfga
abefcgd dfgcaeb
bacfgde agecfdb
gfeabcd bcagefd
cabdegf gfdbcae
abgefdc eadfgcb
abcfegd gebcdaf
bedfgac gadcefb
bcdgfea cafedgb
dbcagef baedcfg
gadfecb fbdcgae
efagcdb bcagdfe
begcfad abgdfec
fdbaceg eacdfbg
agebdfc eabdfgc
gfcbdea aegbfdc
egfadcb gbfecda
agdbefc fgeabcd
beacfgd gacbefd
daebfcg fecagdb
bfdgcae cdabgef
efacbgd fcedgba
adbfceg bedgfca
cfegbad feagdcb
edgcfba ecgdbfa
ebgafcd cgefadb
bacdegf fdcgeab
adecfbg cbfgdae
dbfagec abefgcd
cbafegd fgcdbea
cdfgabe gceadbf
gadefcb daecgfb
fgebcda gabdecf
abegdcf acfdbge
bfcadge afegdcb
bcadfge fgdecba
bdgcfae abgcfde
cbafgde debcgaf
cdabfge fcdgbea
fgbcead dfcagbe
dgaebfc fgacdeb
eafgcbd cdgefab
edfgcba agbdefc
fgcdeba fadcegb
gacbedf faecgbd
gafebdc aefbdgc
egbfdac eabfcgd
ecafgbd becfadg
cedabfg dcabgfe
bgdafce badcfeg
afdbegc adgcfbe
fgdebca bfacdeg
dagebfc acebdgf
bgefcda agcbdfe
abgdcef ebfdgac
gdefabc egfdbac
fabecgd gbcfead
dgacfeb ecabfdg
bgfdcae cbeafdg
aedfbgc fceabdg
caegbfd bdacgef
edafgcb fgcebda
eagfdcb cfgedab
cbedagf fcdegab
dcfbage gefabcd
ecgdfba gcdbefa
baefgcd gbcafed
abfgdce cgdefba
dcgbefa cgdabef
fcbgdea acbfged
bgcfdea acdfgbe
cbfdaeg agfedbc
beacdfg dbcafge
abedcfg bdafcge
bfgcdea fdacegb
fdeagbc egfbcad
afcbdeg afcbgde
cfebadg dbfagce
gfbaced cdbgfea
cfeadbg adecbfg
gbadfce decafgb
cfaedgb ebcdfga
dfabceg gbecfad
gbefadc ebfdagc
fdbgcea adgfbec
gedbcfa cagebdf
dgabefc gedcbaf
gcdeabf cadebfg
ceafbgd gfdbeca
facegdb debfcag
edfcgba fbgacde
gcbdfea egdfbca
dbgfcea bcdgfae
adfgecb ebfcdga
gcadfbe aedcbgf
faedcbg geacbdf
acedfgb bedgafc
bcdgeaf cfgeabd
gecfbad adfgecb
ecdgbaf bdacfeg
cdbfega acdefgb
adbgcfe fdabgce
agcbdfe gbedacf
efdgacb cfbeadg
bagfdce dfeagcb
aedcfbg egfdcba
cbfeagd afdebgc
bagedcf defcgba
cfaegbd fgdabec
dacebgf bdfagce
agcfbde bdgeafc
fcbdgae cbeadfg
edbafcg eacfbdg
bdecfga cadegbf
bdegacf debcgfa
gbafced ebdcgfa
dgcafeb becfdga
ebgfdca fedabgc
efbdgca adgefcb
cfagbde gcabfde
eabfgcd egfcdba
eagcbfd cbdfaeg
cbedafg egacbdf
cadbegf abegcdf
bfeagcd bgdaecf
dcfbaeg ebfcadg
defgbac efdbgca
dcgbaef ecadfbg
daebcfg cgdefab
adbcfeg gfecabd
geadbcf fdcbaeg
fcbeadg edgcbfa
cbagfed cfgbead
cfabegd dfgebac
dbcaefg agdbcef
daegbcf gfdceba
bedgafc bfgcaed
agefcdb bafgecd
bdacegf edbacfg
gfbadce ecbfdga
acbegfd dfgabec
eacfgbd dgfaceb
egdcabf fadcgbe
gcdefab gdbafec
febadgc cdbagef
fbdgcea ecdfbga
gfcedab edbcfga
cabdfge fbdaceg
cgbfdae dfcgbae
acdebgf ecbgdfa
gbcdfea eafdbcg
fdgbcea bcfdeag
dcefagb dbgfcea
fcedbag dfbagce
bacegdf fcadbge
cagdefb gafcbde
dagbefc fdcgbae
gdbcaef bdfceag
bcedagf efcgabd
bedfcga fadebgc
gdcfabe dgfbace
gfaecdb gfbdcae
afdegcb dbcegfa
badgcef abdcgef
gadcfeb bcdfaeg
gebdfca gbfadce
gbacfed dfacgeb
dbafecg fcgadbe
facdbge fadbcge
begacdf bcegfad
gbfeadc faedgcb
fbeacgd fcebgda
cdafbge fgedabc
gbacdef cagefdb
acbgefd bfgdace
ecdfbga gafedcb
decfgab cgfdeba
gcbfdea gfbecda
gdcefba abgcedf
debcgaf efacgdb
fbgecad bgceadf
cgefdba cefbagd
cfdeagb gfbeadc
caedbfg fgbaedc
adcbfeg edabfgc
acdgfeb adegcfb
bgcdafe fdagbce
efbdgac badgcfe
eabfdcg gceafbd
cgafdeb gfedcab
gfdbcae ecabgdf
cadefbg adecfgb
cabedgf egabdcf
gacbdfe gabcfed
afcbdge abdgecf
cedbgfa bgafedc
fabdcge cgfabed
dfcebga cfgadeb
cbfdgea febgadc
cbfegda decfabg
aecbfgd acegfbd
fabdceg dagfbec
dabgecf gdabefc
bcgdefa ebcdgaf
afcegdb adcegfb
gcdbefa abcfdge
cbdefga gbedcfa
fadgceb bfgdaec
bcagdfe abfdecg
fgbdcea cbadegf
efgdbac fbdcgea
eacbgfd acgfebd
fabcged gbcfdea
ecfgbad geacfbd
egabdcf fbecdga
agbedcf efdgacb
bdfgeca cfeabdg
gadcfbe fdecgab
ceafbdg afbcged
afbcdeg cdaefbg
abgfedc cebgfad
bcadfeg cfabdge
gacdebf ecdagbf
bgafdce cgebfad
efbgdac fagbecd
gfcbaed egcfdba
dbeacgf agbfced
edcfbga egbfdca
dfbaceg cgdbafe
aefgbdc gaefdbc
cgbdeaf fdbgcea
gdeabcf gacdfeb
feagbcd dgcebaf
afdbcge afgcbde
adgbfec fgcdabe
acebfgd deagbcf
bdefcga bdcgaef
gdfebac bdafegc
dcbfgea caebfdg
deabfcg edfbacg
dcfgbea degafbc
dgfeabc gfdcbae
abfgcde abfdcge
gaecdbf bdfeacg
gadcbfe fbdcage
acbfdge caedgbf
acbfgde ebfacdg
baegfdc cbgfdea
cbdfaeg adgebfc
agdcefb faebcdg
acfbdge cdabgfe
cafdgbe degacbf
gbdecaf fcabdeg
abdcfge dgbeacf
becfadg adbcefg
bcefgad gabcdef
acbfdeg dbfeagc
beacdgf fgdcbea
feagdbc cbefdag
dfagbce acfbgde
afcdbeg bcadfeg
cbdfgea bdgefac
efcbdga efbgcad
gbfcade fagcbde
cgdebaf becgadf
egacbdf agcfbed
fgeabcd bdfaecg
edbgacf gdcefab
dafecgb febacdg
dcegfba edafgbc
fedgbca bgcdfea
edgcbaf gcbfdae
eagbfcd badfceg
gafcebd egbdafc
fdecabg ceabfdg
eadcbfg bdcafge
bfedcag bfgecda
fgbaedc geadcbf
cbfdgae efdgcab
dgbfeca gcabdef
dbeagfc abecdfg
adcfbge cefbgad
gdacebf afbegcd
agcfdeb cbdfeag
fgedbac fagdebc
gaecfdb aedgbfc
gfeadcb edgafcb
caedbgf gcdbfae
gcabfde gcdabef
edfabcg baecfgd
caefbdg gafbecd
fcdebag dgfcaeb
gdebacf gcdfbea
gacfdbe fgcdaeb
eacfdbg cdbagfe
dfbceag dbacgfe
fbdgace dcfgabe
decbgfa bcdafeg
eafdcgb bgafdce
gfadceb adcbgfe
fbdaecg gbcfeda
efcdbga acgedfb
bdgeafc gdfaceb
bfdaceg cdgafeb
gfadebc cbdafge
edbgafc dbgfaec
afbecdg cdbfage
gfabced cfabdeg
eagbdfc degbafc
gbacefd dafegcb
facbedg gaecbdf
gabefcd dgbacef
feadgcb dbgecaf
gdacbfe bacfged
acgdebf gdcbafe
ceagfbd ebcafgd
edabcfg ecfdabg
bcdegaf fdaecgb
cdegafb bgcfead
fgdcbea dbcefag
bdceafg edacfgb
aegcdfb fdcbage
fbcaged dbagfce
bfacdge cbdefga
gafdcbe bagefdc
gcefbad bafcegd
gcefdab bdcgafe
fedabgc ebcfdga
fgdaceb agecfbd
gcefabd deagfcb
faebgcd afebdcg
dgfceab cdegfab
agebfcd dcefbag
fceagbd cfedabg
dcgabfe abfcdeg
bdcgeaf fdgbace
cbdeagf gecdbfa
fgcdabe gaecdbf
gabfdce cfgebad
bfegcad fgdeabc
gcfbead bcefgad
cgaedfb abcfged
fcebagd bcdegaf
fadgecb fgabecd
bcdgafe gdabcfe
cbegdfa fedcbag
ecbdgfa agcdebf
dbgacfe egadbcf
cdabefg fedcbga
acfebdg gdfecba
fbdaegc bcafged
eagfcdb dfbeacg
gfceadb facgbde
efbgcad agbfecd
fbadcge gdcbfea
efdcagb efabcdg
agfebdc bfcadeg
adbfcge fegcbda
geafdcb dgcfbae
bcgfdea dfgecab
gbadcef dcfebga
bcafged fbdagce
egdbafc febcadg
gbfedac agebcfd
fgbdaec dabefgc
efcbgad fcegdba
fcgeadb acbdefg
fgdabce acgebfd
aecfbgd aegdfcb
bcadgef afgdebc
fgabecd defgcba
bedacgf ceabgfd
cabfegd eacfgdb
dbeacfg cedfabg
cfgbead acfegbd
efdgbca gebcfda
bgcedaf decabgf
cdafgbe cfgabde
debfagc bdgfcea
egbcfad afcedbg
fcgdeab fbeadcg
ebfgacd efdacbg
gfcebad adcbefg
debgacf dbfgace
ebcgdaf daecfbg
bdgfcae dfecabg
agdfbec gacfdeb
gefdabc fdegabc
cbdaefg bgcfade
gdfcaeb gcadfbe
cgdbaef afgedbc
afebdgc eacbdgf
ebfgdca cdefbag
bgadecf bgecdfa
ebgcfad cedafgb
cabgfed feabdgc
debcafg bcagdef
degfbca gbdeafc
ecbafgd bgaecdf
gbadefc gcfbade
afcgebd dcafbge
defabcg cdgabfe
gedcfab cfabedg
abedgcf ecdfgba
bgdcfea agbedfc
aegbcfd fdbcgea
febgdca dcbgafe
efabgcd dcgefba
bdecagf abfcgde
egbfadc gbfdeca
fgdcaeb ecfadbg
aebcgfd fcebdag
cbefdag edcfbga
ebafcgd acbfedg
cdbafeg dbfegac
befacdg begcafd
fgdbeca baefgdc
dgfabce efagcdb
bcedgfa bcdfega
dfcbage dfbagec
gdaefbc gfcedba
eacbfgd ecgbafd
befdacg bdcfaeg
fgadbec gabdefc
gcbdaef bcgedaf
bgcadef adebgfc
cadfgbe cfeabgd
acdefgb bcedfga
bdafegc adgbfec
gfaedbc cgdfabe
adegfcb gbcedfa
cgdfaeb bfegcda
bgcfade agbfedc
bgacfde bdfgcae
efdbgac afbecdg
fbgedac badfecg
dgefabc agdfebc
fabcgde fbdecag
debgcaf eacgbdf
ebfdgca cgdebaf
adfgcbe deagcfb
dacbgef agbdfec
adgbcfe cfabegd
badecgf beadcgf
cdabgef badcfge
ebfcdga abcdgfe
gedcabf abcegdf
gbecdfa fcbgaed
gcefadb eagdcbf
bacedfg gbcdfea
gacfedb bdcaegf
fabgdce ebagdcf
ceabdgf cefabdg
bacfdge eabdgfc
adfbgec afedgcb
daegfcb eacbgfd
fbaegcd adbgfec
dgecbfa abgefdc
fcabedg debfagc
bgdceaf fadgecb
dacfegb bgedfca
acfdebg bgfdaec
egfdbac edfbcga
dfgeabc dcabegf
cabfedg ceafgdb
dabgfec ecgfadb
afcgdeb facdebg
ecbdagf fdcgabe
baedcgf fadgcbe
debagfc acedfbg
cbdgfae bcefagd
dcaebfg cbfaegd
bdefcag gdfbcae
cdaegfb cdegfba
cfaedbg fcbeadg
cbeagfd gabfdec
cdgabfe befdcag
fadegcb fgabced
aebgdfc cgdbeaf
gedcbaf cfbagde
agecfbd gdeabfc
cbdfage efgbacd
aegfbdc fdcebag
degafcb ecdfabg
defcabg ecafbgd
dcfbeag dabfceg
dafgcbe faecgdb
adfgceb dbecafg
cfabdeg cafedbg
cfbdgea egacdbf
aedcgbf gcbedaf
gebfdca fcadegb
cegfabd afecgbd
aefcgdb ceagdbf
ecbfagd cbegdaf
dcebgfa cagdefb
geadbfc eadbgfc
bgefdca cbgdfea
edbacfg adbefcg
abdcfeg cebdfag
fegacbd egdfacb
ebgfdac agbcdfe
efgbcad dfgbace
ecdafbg bgacefd
dfbcaeg gcdbafe
gecbadf edfabgc
degbcfa dafcebg
eafcdgb adbcgef
dfacbge dfceabg
egbfdca bedgfac
fedacgb dbefgac
gdbaefc gdefbca
adefgbc dcfgbea
adegcfb becgdfa
bcaefgd bfdecga
ecdbgaf edcafbg
cdebagf agfcedb
dafgbec dgafcbe
bfdeacg ceadfbg
dbafegc fbcadeg
cfdgbae dbcgfae
cfgebad ebcdfag
dbgcaef acgfedb
eadcfbg egfbcda
decabgf bfacdge
ecgfadb afebgcd
baecgfd cegafbd
ebdafcg eagbfcd
aebdgfc egcbadf
bagcdef ebadcfg
afbgdce gdbecaf
dafgbce fcdbgea
facedgb gdeacbf
gcfabed edfcbag
gfceabd gdcabef
cdabgfe bgdefca
agecdfb abfdgce
bafcged adgcefb
becgafd dgefabc
eabgdfc bgdcaef
fagcdbe bfgaedc
fcgdbae aedgcfb
abdegfc bcdgfea
gaedbfc bcegdaf
edcagbf fgadbce
dgacbef acdgefb
dgfbace gbeacfd
gdfecba fbdeacg
gbdefac dcgbafe
adgecbf fgcdeba
afecbgd cedagfb
egabfdc fbdecga
gefdbca abfegcd
acebgdf bgeafdc
daefbgc faedcbg
cdgaebf adgbcef
cadfbeg gadecfb
abgfdce cgaedfb
fdgeacb fbedgca
cbeafgd bfcdage
gcdfbea afgbdce
bgdfeca bgadecf
afgcbde faegdbc
dgcebaf gbecfda
gdabfec bcafdeg
ebfdgac fgcadbe
fdabceg adbgfce
bfecgda adcbfeg
edagcbf dabfecg
efgcadb agefbdc
dbcafge gcfaebd
cfgabed dcegbaf
fagdcbe cgdbefa
dcbgefa gefbcad
gbfadec fdeagbc
abecgfd agdecbf
gedbacf cgbeadf
bafecdg bacefdg
abfegdc gfcbade
bdcgfae ebfgdca
adbecgf cgbaefd
dfaecbg ebdcfag
edcgbaf dbacfeg
cafebgd bdaefgc
degcafb edbfgac
efdacgb gcaedfb
gebcfda dafebgc
cegbafd gedfabc
febdgac fadbceg
cbfaegd egcdbaf
gbecafd deacbfg
bgedcfa cdbeafg
ecgafdb agcdbfe
fgabdec acgdbef
adbcegf bdfcage
bafegcd caebfgd
aefdbcg dfbeagc
egdbcaf bcgeafd
dcaefbg fbcdage
gbdecfa gecabfd
ecgbfda fagbdec
bgedcaf dcfabeg
cgeafdb acgbefd
afbdegc edfcbga
fcabgde gdfabec
bfedgca aefcgbd
bagcfde gdebfac
bcafdeg daefgbc
cagdfeb feabgcd
cdagefb ecbagfd
ebgdfac fdgacbe
afbgcde begdcfa
dfbcega acebgdf
afgdbce gdfceba
aegdfbc cagedbf
gbdcaef cfgdbea
cbdfgae dfcegab
