1000
afegcdb gdcfbea
feabgdc geacbdf, adbfgce geabdcf
efbgadc bfdeagc, dgacfbe bdegcaf
defbcga afedcgb, gabefcd dgbcafe
cdafgbe fagdcbe, fdeabcg dcbeagf
cdafgbe fagdcbe, ebcdfga befcdag
dcafgeb fceagdb, agefdbc bfcegad
cfgdeba acbdegf, cgeadbf fbecdag
degcbfa afcedgb, egdfabc bcafged
fadcegb bgdecfa, cfbgead cagbdef
eabcfdg gcedafb, gdbeafc fbgcdae
cfdagbe cgdfbea, badcefg cfgbdea
cfbdaeg fegcbda, bdecgaf efgbacd
ceafdbg gdecbfa, cbdagef ceagbdf
gdcaebf abfdecg, efbgadc bfdeagc
bgaefdc ecdgbaf, cdfagbe eadcfgb
fbdgcea fgdbeac, cgefdba cbdagfe
dcfbaeg cbfdgae, fabgcde bcegdaf
ebgfcad gacfbed, cdbgeaf ebcdfag
dfbgeac cagbdfe, agefdbc bfcegad
caebdgf edabfgc, bcagedf gecbfad
cafegdb dbefacg, adfcgbe cefbagd
efbcdag gafebdc, abgcdfe gbdefca
gecdfba aedbfcg, cbdafeg gdafebc
efbgadc bfdeagc, cabefgd dgefcba
ceafgdb fegdacb, gadbfce fdgebca
edgafcb fecdbag, fecdabg gcabfde
efdgabc agecfdb, dbfegca defagcb
cagfedb cdabfge, gfcedab eabdgcf
fecbagd dfabecg, cdgbaef cfedgab
edfbgca gfadbec, dcafbeg cdfeagb
gdbceaf begfcad, caegdfb gbdafec
feacbdg dcgabef, cgbdfae decfbga
abcgefd abcdgef, cbefdga febgadc
acefbgd acfedbg, adecfbg dabefgc
edgbfca fegbdca, ebcagfd gcabdfe
cabegfd edcfabg, gbdface acbegfd
agbfecd ceafbdg, fagcedb aebdfcg
fagcedb aebdfcg, aedfbcg bfgeacd
dbfaceg bacgfed, aefbgdc baefdgc
acdebfg gbeacfd, egdcfab egfbdca
cgdabfe defgbac, cafdbeg abdfecg
afcdbge eabcfgd, fdgbace ebcgadf
fabcged acbfged, baecfgd cfgebad
ebacdfg bgafedc, bgafced bafcged
gfeabcd dcgbefa, gdcbafe acgefdb
fcagbed bdaecfg, fcdgbae cagedbf
dgcafeb ecgdafb, caebfgd fcabdge
fcebdag gbdfcae, fdbgcea cdgfeab
fcdgeba afdgceb, caebfgd fcabdge
badcefg cfgbdea, fedacbg fgbcade
fdbacge bfacgde, dfeacbg fbcgeda
edgabfc gcbfeda, agbfecd ceafbdg
cgeadfb abdfgec, fcbegad dcgebfa
adfcgbe cefbagd, fabcged acbfged
dbgacfe bcaefdg, gebdfca bfcgeda
bdfgace cbgedfa, caedbfg dbcaegf
debfacg dacbgef, dgaefbc ebdagcf
fecdbga aebgfdc, dgacfbe bdegcaf
fcdgbae cagedbf, dcfegab feabdgc
fadbgce fbdcgae, adbegcf edgbacf
ebadgcf bgfcaed, acgbdef dbfgcea
dcebgaf geafcdb, bafedgc agdebcf
adfcegb adfbgec, cdgbafe ecbdfga
adecgfb febgcda, fabedgc edbgacf
aedgcfb bdcfgae, fdacbeg gafcbed
afecgbd fbeacgd, cfbdgea dcfabeg
cgefdba cbdagfe, bfgcdea gdcebfa
fgcadbe dcafebg, fdbacge bfacgde
cdfgeba gbcfaed, ebdagcf egcdfba
fbcaegd fedgacb, edcgbfa caefdgb
cedfgab bcgdfae, abcdgfe afegdbc
fgedabc dfgecba, gafcbed baecdgf
fabcgde fbgcdea, bacdgef gfdbcea
cfgdaeb dfagbec, bgfcdae fgcadbe
cgefdba cbdagfe, decagbf cafgebd
fdbgcea cdgfeab, bdcegaf bagfced
cbgfaed adgfcbe, agedfbc bgafdec
bcadfge fcabegd, edgbcfa fabgdec
cfagebd fcegabd, aegcfdb cagbfed
degbfca dfaegcb, gdaebfc cdaebfg
gcbafed aefdcbg, abdgefc fdbacge
adefcbg fbgdaec, adbcefg dafgceb
deagfcb edbgafc, acgbfde eafdgcb
facbged gbfacde, cagfedb cdabfge
cbgefad cbeadgf, gdcbfea cfdaebg
fdgbcae gdbecaf, dfbgeac cagbdfe
cbdagef ceagbdf, fbgaedc afbcegd
fcbgead bcegfad, cefgabd dcafegb
abdfgce fbdegac, dfaecgb fbgdcea
efdgabc agecfdb, aegfcbd gcbafde
dgbecaf bdcfgea, edbcfga acdgfbe
bagecfd fbdgeca, beagdfc fabedgc
dbfcaeg baefgdc, gdcbfea cfdaebg
fcdbeag agfdbec, gadbcef agecdbf
dgecfba ecbdgaf, fegcadb fegbcad
dabcefg fecbadg, agedbcf cedbafg
bdeacfg fdgebac, gaefdbc cfeagbd
fecdabg gcabfde, cbagdef agfcebd
adfcgbe cefbagd, cgdfbea dfbagec
beagdfc fabedgc, bgcdfea fbadgec
gacbefd degcfab, befadcg gcdbfea
bcfegad gbefacd, ecdgbaf afbcged
bafedgc agdebcf, eabdcfg ebfadcg
cfdaebg bagcdfe, dbgeacf efacdbg
aefcbgd gceadfb, gcdbfae bcgfeda
edbfcga abgcdfe, acbfged daegcfb
gfdaebc fbceagd, dfeabcg agfebcd
cedgfba edgfcab, gcbfdea ebcagdf
fcgdeab bgadecf, aebcgdf cbedgfa
dbgeacf efacdbg, efdbgca cdbaegf
gbfedac abfegdc, fadcegb bgdecfa
cfbgead cagbdef, ecfgadb cafdgeb
edcagfb gfbedac, feabcdg bgaefdc
gbdcafe cfbadeg, dcfgbae geacfbd
gbacfde bfegacd, ecdgfab bdcagfe
ebdagcf egcdfba, edfgcab cabgedf
efcadgb ecfdgba, adgebcf ecbgafd
adefcbg fbgdaec, acdegbf fdagbce
gcbafde agdecbf, adfgecb gfcbdea
gdfecab gdcbfae, dbefgac cdeagfb
bcagdfe agefdcb, cegbdaf gbdface
fdaebgc cfgaedb, gefcbda fbcgaed
acfbdge bcadefg, badecgf cdagbef
agbfedc gcdabfe, degfbac egdcbaf
aecfgbd becgafd, egdcfab egfbdca
acdefgb cabedfg, efgadbc gbaefcd
gcbdafe fabdgce, agefdbc bfcegad
fecdabg gcabfde, bdecagf abefdgc
cdbfaeg cafdbeg, bgcaefd adbcfeg
feacbdg dcgabef, bfgcdea gdcebfa
cadbfeg daebgcf, gcafdeb cgfedab
cebdfag dbfgcae, adgcfeb gebadcf
cgdfaeb gdbcefa, baefgdc fadgbce
gefcbda fbcgaed, agcdebf fegadcb
cegdafb faecgdb, dbfcgae cafbgde
dgafcbe fadegbc, dgbafce gadfecb
bdecfga feabcgd, gdfabce egcbfad
agbcfde gadebfc, cdfbgae eafcbgd
dgacbfe dfgbaec, dcfegab feabdgc
gdfecab gdcbfae, dbcgaef daecfbg
gcebdaf dfbaegc, bgafced bafcged
egdfabc bcafged, gcefdba bcdgeaf
ebafgcd geadfbc, gefadcb defgbca
gfbecda dabgfce, decbagf fagdbce
egafdcb cbegafd, dacbfeg bcefgda
feabgdc geacbdf, gcfedab cgbedfa
cbadgfe baegfcd, fabecdg dgfcaeb
degacbf cabfegd, bdfcaeg afgcebd
gebacfd dfcgbea, gdcbafe acgefdb
dcafgbe bdcfega, abefgdc cbadfeg
fedbgca dgfceab, dfegabc afgedcb
dfeacbg fbcgeda, cbadfge gbcdfea
cedfbag cfdbage, efbcgad fbdagce
efabcgd cegbfda, dcfbega dbgafec
cdbegfa gbecfad, gcebdaf dfbaegc
eabdgfc dgcefab, fabecdg dgfcaeb
caebfgd fcabdge, agedbcf cedbafg
bfcdgae feabgcd, dcfaegb gdfbeca
cebdfga dbeagfc, cfagdbe ebacdgf
gbdfcea cfabdge, ecbadfg dbcegaf
cbdgeaf defcgba, fdcabge agbefdc
edfgcba dfgebca, geafcdb abgfdec
fgbadce gbcfade, gadbfec fbgceda
cbdfega egbfdca, bfcedag dceagfb
dfegabc afgedcb, caebfgd fcabdge
ecdgafb fgbedac, dcfaegb gdfbeca
fgbadce gbcfade, fabgdce cfdabeg
egcdabf acbefgd, fecbagd dfabecg
dfbcgea acbfegd, fcbagde dbgefac
beafcgd cdbfgea, fdeabcg dcbeagf
ebafcdg adbgfec, fcaegbd dbgecfa
badcefg cfgbdea, edcabfg cfeabdg
dcbeafg gbfcaed, edcbgaf fdabceg
gfbcead fecabgd, gebfcad dgefacb
bagedcf cefgbad, fgceadb gfecadb
daefbcg fbdgcea, acgbdef dbfgcea
fbeadgc fbcaedg, gbfdeac fadbgce
dbcaefg gcbaedf, gbdfcea cfabdge
egdcfba fgcdeab, edafcgb bcagefd
feacbdg dcgabef, afcbgde bdcgfea
efagbcd gfbadce, afgedbc fabcgde
dafgebc gdefbca, dbfagec egcbfda
ecdbagf eagdbfc, dgacbfe dfgbaec
cadegfb fdcegab, eagcbdf gcadebf
aegbcdf bdagfce, fbgecad cabgdef
ecdgbaf afbcged, cbfaedg gcbeafd
fgcbead cdeabfg, fcgedab dcfgabe
gefadcb defgbca, agedfbc bgafdec
bfaegdc geacdbf, gbdcaef fcebdag
fbeadgc fbcaedg, gfcedab eabdgcf
dbgecaf eacfbgd, becgafd egcfbad
gfedacb ebgafcd, dacbfeg bcefgda
ecdgbaf afbcged, cgdbeaf cbedgaf
fbcaged dafegcb, deafbcg adcfebg
agcdebf fegadcb, facbdeg efbcadg
bdgaefc badgecf, bcfeadg egcadfb
dfebcga cdfbage, cfebgda adbfegc
bcfdega cdgfabe, gcbfdea ebcagdf
fadcegb bgdecfa, feabgdc geacbdf
dbeafgc ebafcgd, acedfgb agbedfc
daecbfg bcgedaf, eadbfcg efdabgc
cfgdbea baedgfc, dbfcgae cafbgde
fdacbeg gafcbed, bacdefg fcdgeab
cgbdaef bcgadef, fcaegdb dgebafc
dcagefb abecfgd, fecdabg gcabfde
adecgbf adfcgeb, fbcedga bdeafgc
cgbadfe agbfdec, fcbaegd bcdgafe
fgdcbae bcadgfe, fcbadge gfcbead
gbfedac abfegdc, dacbfeg bcefgda
abdfceg gfeacbd, fgcadbe dcafebg
gfdebca aedfcgb, fdeagcb afebdgc
aegcfbd fbagdce, cfbdaeg fegcbda
cefgabd dcafegb, gebadfc fgbeadc
gbeadcf cebdgaf, beagdfc fabedgc
acdbfeg gdafecb, gbeadcf cebdgaf
cdgbafe ecbdfga, dbfcgae cafbgde
aecdbfg fgbecda, gbcfdea bfeadcg
agdebcf ceafdbg, becdgaf cfbdeag
gfceadb aedgcfb, becdfag cagfbde
fdgbace ebcgadf, fdcabge agbefdc
fbcaged dafegcb, dcbgfae afebcdg
adgcfeb gebadcf, gfbedac fdgceab
dafgebc gdefbca, bfdaceg febgcad
bfacdge abfdegc, caedbgf dfabegc
cdbegfa gbecfad, bfdgaec abdgcfe
fdgbace ebcgadf, cadegfb fdcegab
degcbfa afcedgb, fegacbd dgfaceb
cfdabeg fbcedga, cbafedg bcgaedf
agbfecd ceafbdg, egdfbac dgafcbe
bcfdega cdgfabe, fdaecgb bfedagc
fbgaedc afbcegd, efdcabg gfdceab
beafcgd cdbfgea, edgbafc gecfadb
gfceadb aedgcfb, adecgfb febgcda
daecbfg bcgedaf, dcfaegb gdfbeca
aegbcfd adfcgbe, fcedabg fgdbace
ecdfabg gfdeabc, cgbeafd cfgdabe
bacdgef gfdbcea, fdabceg edfcgba
fbedcga ebgcdaf, aecdfbg dacbfeg
aegfdcb dgfbeca, bcgedfa cdagfbe
gbfedac abfegdc, cdbgeaf ebcdfag
efdbgca cdbaegf, ebacdfg bgafedc
agcdbef aegcbfd, gbfedac abfegdc
degacbf cabfegd, abfdecg gfacebd
bfdcaeg bdeacfg, fedbgca dgfceab
adgebcf ecbgafd, abefgdc cbadfeg
gfbcdea adbecgf, fdeagcb afebdgc
fadbgce fbdcgae, bfgadec facebgd
fdaebgc cfgaedb, degfacb abcefgd
gdfbcae dabcfge, afcgdeb fgdaecb
defgbac abegcfd, facbgde cbgeafd
gadbcef agecdbf, geabdfc cedgafb
edabgfc dfcbage, dfbcgea acbfegd
ebgfacd fagbcde, aedbgcf bgaefcd
eacfdgb gecadbf, bcfaegd ecadgfb
cfagdbe ebacdgf, afdgcbe bdacefg
cgbdeaf eacgfdb, decbgfa bceagdf
edgbcfa fabgdec, gdacefb cfagdbe
ecbdfag dgceafb, bgafdec caedgbf
eafdcgb cafbegd, dfebcga cdfbage
cbaedfg gbcafed, fdcaegb gfdceba
efcdbag bgeacfd, cgaedfb bfgcade
facbged gbfacde, gdafbec ecbdgfa
fdgbace ebcgadf, bcefadg cdebgfa
gdabecf bcefdag, fecgbad dcgbafe
afdgcbe bdacefg, agefdbc bfcegad
dgfbeca gecbdfa, bgcdfea fbadgec
bfdacge bfdagec, fcedgba gcadbef
dgafebc dcbfeag, dbcagef afdcebg
acedbfg efacdgb, defabcg fgadbce
bfdacge bfdagec, dgfecab baedgcf
ebacdfg bgafedc, degcabf fegcabd
ecgfabd efadbgc, ebgafcd gfcbade
feabgcd geabcfd, bdgecaf bcdaegf
cdagfbe fcdbgae, cgbeafd cfgdabe
fdcegba fdbceag, fgdcbae bcadgfe
gfacebd fgeacdb, efabcgd cegbfda
becfagd bfacegd, cafdbeg abdfecg
gaedbcf efcgbda, geabcdf gdaecfb
cafbegd ebacfdg, afegcdb gdcfbea
cbdfage gdbcaef, eadfbgc cgfbdea
aegcfdb cagbfed, bcgaedf eacdbfg
efdgabc agecfdb, gfabedc cfebadg
acbfged daegcfb, fbacgde edbgcaf
ceafdbg gdecbfa, bgcdefa ceadfbg
daebfgc dbgfcae, cdbagef faebcdg
cfdaebg bagcdfe, beafcgd cdbfgea
dcegfab fgebdac, abcdgfe afegdbc
fcdgbae cagedbf, gbfadec bafcdge
cgdaefb efbdgca, eagfbcd dcagbfe
debfacg dacbgef, afebcgd cbfdage
fecagbd febcdag, ebgfcad gacfbed
bcagfde eacgbdf, gdbefca bdefacg
edgcfba gabefdc, fgcbead cdeabfg
gdbcaef agdfecb, afdgcbe bdacefg
gbdeafc egafdbc, gfcedab eabdgcf
aecgdfb ecbfdag, befadcg gcdbfea
fdaecgb bfedagc, fbgaedc afbcegd
cdgfbea fbgcade, debfacg dacbgef
dcefgba gbfcead, bacfgde cbgafde
cfbaged cbdfaeg, acdegbf fdagbce
cegfabd faecgbd, bdeagfc bgfaedc
edbgacf cgbefda, cbagfed adfecbg
ecfdagb faecbdg, dcgeafb gfdbeac
becagfd bagefcd, fagdbce gafecdb
efdbagc fbdaceg, dafgceb bdacfge
edcgbfa caefdgb, gacdbef aedbcfg
edbcgfa dagebcf, eafdcgb cafbegd
eagcbfd gdcfabe, dbcgaef daecfbg
eafbcdg eagfbcd, cbdagef ceagbdf
cedgfab fdagecb, dcgeafb gfdbeac
gbefadc fagecbd, ebgadcf defbcga
beagdfc fabedgc, edcfbag facegbd
gceafdb fgadebc, gfbecda dabgfce
egfbcda bdfgace, baecgfd becfdag
fcadbeg gdcebaf, dbfcaeg baefgdc
gacfebd acgbefd, adbfgce geabdcf
egcfabd dbcagfe, bcfeagd bgefdca
fedgcab cdbgafe, cfbdeag gcaebdf
gebdfca bfcgeda, baecgfd becfdag
gdacfbe bcefdga, egfbcda bdfgace
cfgdaeb dfagbec, dfebacg egbfcad
bcdgaef bdegcfa, eabfcgd eagbfdc
gdacefb cfagdbe, gcbfdea ebcagdf
degcabf fegcabd, edgcfab cdefgba
cfbdgea dcfabeg, fgdebac deagfbc
badfgce defbgca, cfebgda adbfegc
adecgfb febgcda, bfcdaeg dcbfgea
bcdfgae bfdaegc, fdcgeba gdebfca
febcgda dfeacbg, cdbfage bagcfed
facbgde cbgeafd, bedcafg acedbfg
fadcegb bgdecfa, feacbdg dcgabef
fabgcde bcegdaf, bcagdfe agefdcb
ecbfadg fagbdce, gcdbfae bcgfeda
bacdefg fcdgeab, ecfgadb cafdgeb
ebgfcad gacfbed, gbceadf fdgbeca
bgcdfea fbadgec, cefabgd cgdebaf
dgcafeb ecgdafb, adecgfb febgcda
fcagdbe ecgabfd, gaebfcd bedgacf
dcebafg aecbgdf, gfbdace bdaecgf
dbfcaeg baefgdc, cadegfb fdcegab
beafcgd cdbfgea, edfgcab cabgedf
egacdfb bcegdfa, agbfced caebfdg
bafedgc agdebcf, dgafebc dcbfeag
bacfgde cbgafde, bgaefdc ecdgbaf
cfbedag befacgd, gcebdaf dfbaegc
dcfegab feabdgc, adfcbeg fdagebc
edabfgc fcabdeg, cdbfeag gbfdcae
agbfedc gcdabfe, gfebcda dagfbce
cdfbeag cfgebda, agbfecd ceafbdg
cdafbeg daebgfc, degcabf fegcabd
aegbcdf bdagfce, cgdbeaf cbedgaf
dbagcef acefgbd, gebdfca bfcgeda
edfgcab cabgedf, agdcebf aefdbcg
fegbcda fecadgb, befgacd abdcfeg
feadbcg gbefdac, fedagbc ecgfbda
afdgcbe bdacefg, cbadfge gbcdfea
feadgbc fdaecbg, aebdcgf fcgbade
gaedbcf efcgbda, dfagbce agdebfc
cebafgd dbfcaeg, dcagfbe cdeafgb
bfdegca cgfebad, afgdebc efgdcba
cgaefdb facdebg, fgabecd fcegbad
aecgbfd gabfced, dfbgeca ecdabgf
adbfgce geabdcf, abdcgef bedacfg
gdbafec cdbefga, bcgeadf fcgbead
gabecdf gdfbcea, afgbcde adcefgb
gafebcd dfecgba, cdafgbe fagdcbe
edgcfba gabefdc, gcbafde agdecbf
fcgebad cbgefad, gcadfbe bedcgfa
cafdbeg abdfecg, gdfbeca cegfdab
dgafebc dcbfeag, gfdaebc fbceagd
abfgdce ebdgfca, dgecfba ecbdgaf
becgfda cedbfga, bfeacdg dbeagcf
fbdegca cefgabd, cegbdaf gbdface
fcedabg fgdbace, gbcefad efgcabd
fabegcd bdaegfc, efcgbda bdegacf
dbfcaeg baefgdc, bedcafg acedbfg
cgfabed gacbdfe, adecfbg dabefgc
feabcdg bgaefdc, badecgf cdagbef
bcdfgae bfdaegc, cgbdfae decfbga
ecbfadg fagbdce, cfagbed bgfcead
dceagbf cbfadeg, cadfegb dcgafeb
edbgacf cgbefda, gbdafec edacgbf
cdfagbe eadcfgb, edbfcag agdfbec
afbcgde ecadbfg, dcbeagf bdfgcae
abedfgc edgcbaf, feadcbg bcgdfea
dgbefac dgebcaf, cbdgeaf defcgba
aefcbgd gceadfb, eafbdgc afcgdeb
adfgecb gfcbdea, bgcfead dfegbca
ceafdbg gdecbfa, dcefgba gbfcead
aecgbfd gabfced, bcgaedf eacdbfg
cfedagb debafcg, fcbgead bcegfad
agfdcbe dagbfce, gcfeabd cefabgd
bfdgaec abdgcfe, dacbfeg bcefgda
ebgacdf gdfaebc, aegcfdb cagbfed
cagfedb cdabfge, cbdfgea abecfdg
cbfdgae fbgecad, fabcdeg ecfabgd
egafdcb cbegafd, cbdfgea abecfdg
dgcefab eabgcfd, ebcadgf faedbgc
ecbdgaf adcgfeb, acbfged daegcfb
cbgfdae aecdbfg, afgbcde adcefgb
dbefgca aedfcbg, bcagdfe agefdcb
agfdcbe dagbfce, acdgbef eabfdcg
adecfbg dabefgc, cbgeafd dgcfaeb
bdgecaf bcdaegf, eafbcgd bfagced
bgcdefa ceadfbg, eadfbgc cgfbdea
bfacdge abfdegc, acefbgd acfedbg
bdgaefc badgecf, gcbafed aefdcbg
dfbgeca ecdabgf, fbcedga bdeafgc
bgedfac gacfbde, dfegabc afgedcb
cdbfaeg cafdbeg, gdabecf bcefdag
bgdfcae fecdgba, fcbgeda egfadcb
abdcgef bedacfg, edgabfc gcbfeda
dgacebf ecdgbfa, cbadgfe baegfcd
gebdfca bfcgeda, facbgde cbgeafd
efgacbd fgdbeca, ebafcdg adbgfec
bcafgde ceabgfd, eabcfdg gcedafb
bcdfeag gfeacdb, aecbfdg cbfdega
abedcgf aebdgcf, fgcbead cdeabfg
deacbfg bfegadc, eadfbgc cgfbdea
agdebcf ceafdbg, cdbagef faebcdg
egdfbac dgafcbe, efgadbc gbaefcd
ebafgcd geadfbc, faedbgc fcdeabg
fcedgab cfdaegb, dfebagc dcaefbg
aecbfgd bceafdg, egacdfb bcegdfa
dceabgf gcbdfea, gcbefda gdabfce
fdgecba cdfebga, fecbagd dfabecg
cfbdaeg fegcbda, fdcaegb gfdceba
cbdfgea abecfdg, bdefcga dcgeabf
gcbdafe fabdgce, egacdfb bcegdfa
adbgfce fcgdaeb, cfeagbd egbdfac
bdcegaf bagfced, feabgdc geacbdf
edgbcfa fabgdec, ecbadfg dbcegaf
egdcbaf cbaedfg, adecfbg dabefgc
geabcdf gdaecfb, bgfdace degfbac
bcgeadf fcgbead, cbedagf dcagfeb
cfedagb debafcg, efbcdag gafebdc
fcbagde dbgefac, bcgedfa cdagfbe
fcgedab dcfgabe, afegcdb gdcfbea
ecbfadg fagbdce, fdbacge bfacgde
becdafg gcfebda, egbacfd gcbedaf
fagcebd aebfdgc, eafbgdc ebgdafc
gdaebfc cdaebfg, dbefgac cdeagfb
aecgbfd gabfced, gebadfc fgbeadc
dcgeafb gfdbeac, ecafdbg fdbecag
cegdfab dacgbef, adbgfce fcgdaeb
efgbcad gdfbeac, bdfcega fbdcega
fecdabg gcabfde, ecdgfab bdcagfe
dgbafce gadfecb, efgadbc gbaefcd
dgcbaef dfgbace, aedgbfc cgfadbe
abefcgd fdgeabc, caebfgd fcabdge
cbdafeg gdafebc, dcfaegb gdfbeca
fbdgcea fgdbeac, efdbagc fbdaceg
fabgcde bcegdaf, debfacg dacbgef
badcefg cfgbdea, caebgfd egdbfca
caebfgd fcabdge, aefgbcd adfbcge
fedcabg bgfcdea, cbgefad cbeadgf
dgbafce gadfecb, gfeadbc bdfeacg
acgbdef dbfgcea, fgbaecd bgefdac
cbagdef agfcebd, agebfcd fgeacbd
cfadbeg efdbagc, fdgaebc eafgcdb
agdebcf ceafdbg, eafdcgb cafbegd
dcfegab feabdgc, gaedbcf efcgbda
gfdcabe dfbagce, dgfebca edagbfc
aegfcbd gcbafde, gcdfeba gaedcfb
gdcebaf agdefbc, feabgcd geabcfd
edcagfb gfbedac, bacfgde cbgafde
cfebgda adbfegc, gfeabcd dcgbefa
dcebafg aecbgdf, gabefcd dgbcafe
caegbdf fdbegac, gfbecda dabgfce
fdbgaec fgbadce, abcgefd abcdgef
fgbaecd bgefdac, feadgbc fdaecbg
adbcefg dafgceb, abfgdce ebdgfca
fecdabg gcabfde, bcagedf gecbfad
agdcebf aefdbcg, adcfbge gfbdcae
afcbdge cgefadb, abfdgec ebafdcg
afcdbge eabcfgd, badgfce daebcgf
cgbdeaf eacgfdb, afebgcd bcgdafe
ecfgdba cfagdeb, afdgcbe bdacefg
ecdfabg gfdeabc, cgbeafd cfgdabe
cgbdfae decfbga, cbdgafe cabegdf
debacgf cfdabge, fdgbcae gdbecaf
edgbfca fegbdca, bgfecad aecbgfd
cdbfaeg cafdbeg, fdacbeg gafcbed
bfdcage dfbaceg, gfbedac fdgceab
dcefgba gbfcead, fcadbeg gdcebaf
fgbaecd bgefdac, bgfaced agcfdeb
cgbeafd cfgdabe, agcdbef aegcbfd
aebdcgf fcgbade, egdfbac dgafcbe
cefabgd cgdebaf, abefcgd fdgeabc
fdcegba fdbceag, gdbecfa efgdcab
abfcedg fdabgec, fcedabg fgdbace
gadbcef agecdbf, efdbgca cdbaegf
bedafcg fdecbga, aebcfgd egbcadf
adbefgc edagfbc, gcbfdea ebcagdf
fdgbace ebcgadf, dbcafeg afcgbde
dfaebcg ecabgdf, agbcfde gadebfc
cfagebd fcegabd, bagedcf cefgbad
dgeafbc fgabdce, gfceadb aedgcfb
ebgacdf gdfaebc, daebfgc dbgfcae
aecbfgd bceafdg, eagdfbc gabfcde
decbgfa bceagdf, bdcgeaf egfcdba
dbcagef afdcebg, cfbdeag gcaebdf
dcafbeg cdfeagb, gfabedc cfebadg
cdfabeg efcagbd, edbgacf cgbefda
feadcbg bcgdfea, aebcfgd egbcadf
gbcdafe badgfce, cbgefad cbeadgf
ecdbgfa cdgfaeb, abgfecd dfcgeab
gdbefca bdefacg, edbfcag agdfbec
begcafd acbdfge, dbcgaef daecfbg
gadbcef agecdbf, bdfcaeg afgcebd
efgdacb afbecdg, cdafgbe fagdcbe
acdegbf fdagbce, gebfcad dgefacb
ecdbagf eagdbfc, cfagdbe ebacdgf
dcabfeg dgbecfa, gadbcef agecdbf
bagedcf cefgbad, bdegcaf acgfbde
cfbgead cagbdef, facedbg gcbefad
ecdgfab bdcagfe, bcgeadf fcgbead
aegcfdb cagbfed, cdegafb cfgadbe
bcfeadg egcadfb, gdfbcea fgaecbd
cfbaged cbdfaeg, gdbceaf begfcad
egacdfb bcegdfa, acfgdeb cdgabfe
gcdbfae bcgfeda, adcfbge gfbdcae
bagdcfe cgabdfe, acgdebf efadgcb
ebafgcd geadfbc, bgfdace degfbac
acefbgd acfedbg, feadbcg gbefdac
gafcbde fedacbg, cegbdfa cfaegbd
dafgebc gdefbca, aebfdgc fbecgad
cfgdbea baedgfc, agebfcd fgeacbd
fdebgca bgdcaef, acfgdeb cdgabfe
gacfebd acgbefd, cdgbafe ecbdfga
ecdagbf eacgdbf, cdfbeag cfgebda
abcdefg agbdcef, cefabgd cgdebaf
bfdaceg febgcad, deagfcb edbgafc
bfdcage dfbaceg, bdgaefc badgecf
gfeabcd dcgbefa, badgcef gfacdeb
fcagbed bdaecfg, badgfce daebcgf
dfebcga cdfbage, dgfebca edagbfc
faedbgc fcdeabg, cabefgd dgefcba
baefgdc fadgbce, adbegcf edgbacf
ebgcdfa bcgedfa, afebcgd cbfdage
gcebdaf dfbaegc, dcbgefa cfadbeg
ebcadgf faedbgc, dcfbega dbgafec
aedfbcg bfgeacd, dcagfeb fbdgeac
badfgce defbgca, edabgfc dfcbage
ecfbdag agecbfd, fadbgce fbdcgae
gaefdcb adgcbef, aebcgdf cbedgfa
aegcfdb cagbfed, dfegabc afgedcb
gafebcd dfecgba, bfadgce aebgfcd
gcbefda gdabfce, fabecdg dgfcaeb
gbaedfc debcafg, bgcaefd adbcfeg
caedbgf dfabegc, gcdbfae bcgfeda
bedafcg fdecbga, afcbgde bdcgfea
eafbcdg eagfbcd, gbfedac abfegdc
deafbcg adcfebg, afdbgce gfeabcd
cgbdeaf eacgfdb, agbcfde gadebfc
bagecfd fbdgeca, fgceadb gfecadb
cfadgeb beafgcd, edgcfab cdefgba
cabefgd dgefcba, badcefg cfgbdea
dcfaegb gdfbeca, afgbcde adcefgb
dbagfec dbecgaf, fdcgeba gdebfca
dfaebcg ecabgdf, caebfgd fcabdge
cgeadfb abdfgec, bcadfge fcabegd
eagcfdb deacfbg, dbfaceg bacgfed
agedfbc bgafdec, fbdegca cefgabd
fcdageb cdefabg, cgefdba cbdagfe
dfebcga cdfbage, dbeafgc ebafcgd
gfbecda dabgfce, dgfecab baedgcf
cgbdaef bcgadef, badfceg afbedcg
deabcfg bcdagef, fcbaged cgbdfea
bafedgc agdebcf, cdagfbe fcdbgae
fbcedga bdeafgc, bgefadc edgfabc
adfcegb adfbgec, dcfaegb gdfbeca
fecgadb bagfdec, debcafg gecfdab
afgbcde adcefgb, afcbdge cgefadb
cabegfd edcfabg, dgeafbc fgabdce
efcbagd dfaecgb, baecfgd cfgebad
acgdebf efadgcb, eacfdgb gecadbf
edbfcag agdfbec, fdgaebc eafgcdb
gefcbda fbcgaed, degcfba cbdagef
gafcbde fedacbg, gaefdbc cfeagbd
dafcbge eabgfdc, abcgfde egcfabd
gdbfcae fbdaegc, fdgcaeb egfdcba
bacdfge gbadfec, dgfebca edagbfc
dfecbga cbdfega, dcgeafb gfdbeac
gcfedab cgbedfa, bcedfga efdagbc
cgbedaf fbgcead, fcbegad dcgebfa
fecgbad dcgbafe, cegdafb faecgdb
feabcdg bgaefdc, gbecfda bafdgce
facbdeg efbcadg, bgdfcae fecdgba
aebcfgd egbcadf, cgefdba cbdagfe
abcdgfe afegdbc, dbagfec dbecgaf
gcadfbe bedcgfa, egafdbc bcfedag
fedcabg bgfcdea, febcgda dfeacbg
afbecgd bafecgd, fedbgca dgfceab
